id,title,author,first_author_org,year,issue,page_start,page_end,abstract,keywords,clc_code,cite_count,doi,pdf_path
1,AIGC版权判定的认知经济性分析,蒋舸[1],清华大学法学院,2025,2,127,147,迄今为止，关于用户AIGC版权主张的讨论集中在本体论层面，有必要从认知经济性视角出发，增强人们对“最低限度创造性标准”在AI时代仍然适用的信心。从认识论角度来看，区分高独创性AIGC与低独创性AIGC的认知成本过高而认知收益过低。以“独立创作不侵权”为核心的一系列排他权限制性规则，足以确保低独创性AIGC的版权不会过度侵害公众行动自由。在版权法之外通过原则条款或者新增邻接权等方式来追求利益平衡的做法在认知层面极为低效。版权法的合理策略是在权利客体环节保持“理性无知”，承认做出最低限度创造性贡献的用户有权禁止原样照抄。只有在用户主张禁止非原样照抄和高额赔偿的极少量案件中，法院才需要通过权利内容、限制和救济等后续环节的规范来评估用户贡献的具体程度。法院需要通过动态评估执法效果来确保用户贡献程度与救济水平相当，尤其应当重视排他范围和损害赔偿这两项因素对于潜在诉讼双方行为的引导效果。,人工智能生成内容;最低限度创造性标准;认知经济性;独立创作;邻接权,D913,,,法学三大刊论文/中国法学/AIGC版权判定的认知经济性分析.pdf
2,APEC成员合作反腐司法一体化机制构建,楼伯坤,浙江工商大学法学院,2016,2,184,203,"APEC是内部联系较为紧密的区域经济组织,具有共同的遏制腐败犯罪的必要性。《联合国反腐败公约》对各缔约国提出的反腐败要求是APEC成员间合作反腐的基本依据。但由于区域结构的特征与成员体各方的政治模式、法律制度和现实状况不同,深度合作的基础还存在一定障碍。这种困境,一方面使一些跨国腐败犯罪案件因相关成员体在合作条件上缺乏共识而未能得到及时处理;另一方面,对于正在被调查、处理的腐败犯罪案件,也因各司法区管辖权的独立性和执法机制的刚性而面临＂双重追责＂或刑罚失度等不公平待遇的危险。文章提出,APEC成员应当在依照《联合国反腐败公约》对腐败行为实行一体化预防和追查的基础上,践行《北京反腐败宣言》达成的共识,创新建立惩治腐败犯罪的一体化机制。通过APEC会议协商,确定一套统一的处理涉外腐败案件规则,由其中一个国家（或其独立司法区）对案件行使司法管辖权,负责侦查（包括共同调查）、起诉和审判。除司法协助外,侦查、起诉和审判案件的程序适用法院地法;对犯罪人判处刑罚的实体规定适用犯罪行为地法;对犯罪行为地处于多个国家（或其独立司法区）的情形,以选择对犯罪人相对有利的法律予以适用。",APEC成员合作反腐;司法一体化机制;《联合国反腐败公约》,D997.9,18,,法学三大刊论文/中国法学/APEC成员合作反腐司法一体化机制构建.pdf
3,CISG在中国国际商事仲裁中的适用,韩世远,清华大学法学院,2016,5,218,238,"《联合国国际货物销售合同公约》作为国际货物贸易领域的统一法,要求统一解释和适用。本文以贸仲委2008-2011年涉《公约》的67份裁决书为研究素材,尝试一种经验研究,揭示中国国际商事仲裁中适用《公约》的经验与问题,包括对于《公约》的可适用性理解的偏差、在裁判说理及法条引用方面存在的不足等。在适用《公约》时关注国际同行的做法,甚至在裁判中参引他国裁判,将是未来的一个发展方向。裁判者在避免对《公约》作“政治解释”的同时,也要理性看待中外当事人胜诉比例。中国撤回对于《公约》第1条第（1）款（b）项的保留,正当其时。港澳台是中国大陆的重要贸易伙伴,最高人民法院应在适当时机出台司法解释,为此类涉外合同纠纷“准用”《公约》,积极开辟道路。",联合国国际货物销售合同公约;国际商事仲裁;法源,D997.4,33,,法学三大刊论文/中国法学/CISG在中国国际商事仲裁中的适用.pdf
4,ESG对董事义务的改造：从商业判断到社会判断的进化,蒋大兴[1],北京大学法学院,2024,4,88,109,从企业社会责任（CSR）到环境、社会和公司治理（ESG），都要求公司在从事营利性经营时，要关注环境、社会和公司治理的改善。ESG试图将公司内部治理与环境和社会改善衔接起来，使社会责任直接融入公司的商业决策中，从而建立起社会利益与公司商业利益之间的融通渠道。当然，不同国家、不同公司在不同阶段所关注的ESG议题存在差异。各国为推进ESG所采取的法律机制主要有组织法、交易法和规制法三种机制。其中，核心是改造董事的义务结构，让社会判断原则正式步入董事会的商业决策过程，社会判断将与商业判断共同构成董事义务履行正当性的内核标准。社会判断义务在履行主体、履行场景、履行时间的具体构造上，均有其特殊性。董事会要尽可能避免商业判断与社会判断的冲突，在商业决策方法上，应采取“交错考量”的方式，平衡商业判断与社会判断的关系，让二者互为“安全港”。,CSR;ESG;公司法;董事义务;商业判断;社会判断,D922.291.91,,,法学三大刊论文/中国法学/ESG对董事义务的改造：从商业判断到社会判断的进化.pdf
5,“一带一路”争端解决制度研究,王贵国,浙江大学,2017,6,56,71,“一带一路”倡议是一项涉及面极广的跨世纪工程。制订一套与之相适应的争端解决机制能为中国实际主导并参与制订相关规则提供强力支撑。现有解决商事争议、国家间经贸争议和投资争议的争端解决机制均有其各自的不足，且多体现普通法诉讼程序和技巧，不大符合“一带一路”倡议大部分参与国的实际情况。作为“一带一路”倡议的提出国，中国应引领制订、完善“一带一路”争端解决机制，包括争端解决机构的设立。应在充分分析国际上现有机制运作情况的基础上，提出一套涵盖斡旋、调解与仲裁的制度，既充分反映中国传统文化的大智慧，又对国际上的现行制度有所扬弃。,一带一路 争端解决 调解 仲裁,F744,0,,法学三大刊论文/中国法学/“一带一路”争端解决制度研究.pdf
6,“一带一路”多元争端解决中心构建的当下与未来,初北平,大连海事大学法学院,2017,6,72,90,我国国际争端解决机制尚未在“一带一路”沿线国间自然形成中心地位，构建调解、仲裁、司法三位一体的“一带一路”争端解决中心应从当下和未来两个层面进行价值考量：调解、仲裁和司法三位一体模式的争端解决中心是国家海外贸易及投资权益维护举措的应急与补缺；是推动相关争端争端交由“一带一路”沿线国家共同参与的争端解决机构进行裁判的试验场。以此为近期目标，“一带一路”争端解决中心建设需要理性地接纳境外仲裁机构进入中国并与中国争端解决机构合作；需要改变司法主权过度扩张的观念以促进司法协助和合作；需要推进调解机制的国际协调及“软法规制”。“一带一路”多元争端解决中心的近期功能受制于沿线国的信任度以及当事方的意思自治，而其承载的诚信文化沟通、“一带一路”区域仲裁机构形成以及国际化人才培养的三大远期功能将是建设该中心的核心价值所在。,一带一路 争端解决 仲裁 司法协助,D996,0,,法学三大刊论文/中国法学/“一带一路”多元争端解决中心构建的当下与未来.pdf
7,“一带一路”建设与公司准据法的确定,邢钢,北京师范大学法学院,2017,6,91,109,公司准据法确定的根本思路在于，将公司内部事务主义作为其基本规范立场以实现公司自治和投资自由化，通过非结论式正面清单合理界定内部事务主义的规范范围，同时在特定的条件下保留对内部事务主义的规范例外，形成对公司自治的限制和维护投资安全和利益。《中华人民共和国涉外民事关系法律适用法》相关规定的设计和表达未能完整体现这一思路，当文本表现出规范立场的摇摆不定和规范范围的模糊不清时，司法实践呈现出的就是裁判的乱象丛生。这也难以为“一带一路”建设提供公正高效权威的法律保障。解决上述问题的具体路径是，提炼公司准据法规范范围中所列举事项的内在关联性和分类标准，将现有的客观标准主观化，合理设定公司准据法的规范范围；在坚持将内部事务主义作为公司准据法确定的基本规范立场的同时，为防止法律的滥用和应对虚假外国公司，应明确针对内部事务主义的适用作出旨在保护第三方利益或者社会公共利益的限制性规定。,一带一路 公司准据法 内部事务主义《涉外民事关系法律适用法》,D922.291.91,0,,法学三大刊论文/中国法学/“一带一路”建设与公司准据法的确定.pdf
8,“一带一路”背景下铁路提单与铁路运单的协同创新机制,杨临萍[1],重庆市高级人民法院,2019,6,66,85,"铁路提单是我国国内贸易主体参照海运提单创制,并应用于中欧班列的新型国际铁路运输单证,它具备物权凭证功能,是完善国际陆上贸易规则,推动""一带一路""互联互通建设的重要制度工具。鉴于现行国际铁路货运制度是围绕铁路运单设计的,铁路运单属于国际铁路货运必备单证,铁路提单与铁路运单的协同运作成为了当前阶段推进铁路提单制度创新的唯一选择。铁路提单与铁路运单的协同运作需要以国际铁路货运公约为基本遵循,合理利用铁路运单规则,确保铁路提单与铁路运单在铁路运输合同层面的统一性,实现铁路提单签发人、铁路运单发货人、收货人三者的同一性。此等架构虽有重大的实践价值,但仍属权宜之计。铁路提单制度创新的最终目标是形成一套新的国际铁路货运单证规则,故下一阶段应着力推动铁路提单制度的规则化和国际化。",铁路提单;铁路运单;物权凭证;运输凭证;协同创新,F53,0,,法学三大刊论文/中国法学/“一带一路”背景下铁路提单与铁路运单的协同创新机制.pdf
9,“五湖四海”：政法系统干部交流机制的发生与形态,刘忠[1],,2023,6,123,141,“五湖四海”是当代中国干部选任的一项基本原则。干部交流任职是该原则的重要内容。在政法领域，先从法院院长、检察院检察长“两长”开始，再扩大到包括公安机关负责人的“三长”，政法干部交流在中央和地方不同层级展开。1982年《宪法》与1979年《刑事诉讼法》规定的一项基本诉讼原则为分工负责、互相配合、互相制约。制度经验验证，作为政治治理原则的干部交流并未与该诉讼原则冲突，而是有助于该原则的实现。干部交流因此扩展到党委政法委、司法行政、国家安全、法学会等部门，并进一步扩展到人大常委会相关部门、监察委、法学院校之间。这一干部交流方式成为中国当代政法体制的一个基础特征。,干部交流;五湖四海;政法系统,D926,,,法学三大刊论文/中国法学/“五湖四海”：政法系统干部交流机制的发生与形态.pdf
10,“人格物”的司法困境与理论突围,冷传莉,贵州大学法学院,2018,5,141,159,"以首例冷冻人体胚胎继承案为代表的诸多司法案件凸显出,民法所调整的人身关系与财产关系已不再泾渭分明。人格权与财产权的融合、联动乃至冲突日趋频繁并渐进为民法发展的重要趋势。＂人格物＂的提出不但彰显了此类物的特定价值与保护要求,同时揭示出现行民法规范所无法协调的物上并存物权与人格利益的现实状况。基于此,区分民事权利客体与民事权利对象,在理论上重新界定民事权利客体,在立法上适度突破传统民法语境下人格权与财产权的形式二分结构,以此寻求＂人格物＂上双重利益保护的民法机理与法律适用进路,对有效弥补传统民法对物权现象观察不足、突破民法传统思维体系中人与物二元分立理论的局限、修正人格与财产之间的割裂关系、并进而彰显我国民法的时代性与创新性具有重要意义。",人格物;人格利益;财产利益;人与物的二分模式;民事权利客体,D923.1,0,,法学三大刊论文/中国法学/“人格物”的司法困境与理论突围.pdf
