rank,pid,category,quota_category,journal,year,title,author,institution,score,std,source,selection_reason,position_total_score,object_belonging,material_belonging,category_autonomy,explanatory_orientation,system_mappability,position_agreement,position_review_required,research_route
1,1510,民商法学,民商法学,法学研究,2023,数字私力救济——基于远程控制网联物的权利实现,王琦,北京航空航天大学法学院,89.225,6.54,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,china_practice_governance
2,1260,民商法学,民商法学,法学研究,2020,公司决议瑕疵立法的范式转换与体系重构,丁勇,华东政法大学,88.625,2.78,E1+E2,五轴归属10分主池,10,2,2,2,2,2,high,False,comparative_localization
3,1865,民商法学,民商法学,法学研究,2025,股权转让中的出资义务承担——以组织法与行为法融贯为视角,李宇,浙江大学光华法学院,88.625,4.85,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
4,1238,民商法学,民商法学,法学研究,2024,债权人代位权的类型化构造,俞彦韬,华东政法大学,88.45,3.31,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,china_practice_governance
5,1606,刑法学,刑法学,法学研究,2016,法条竞合与想象竞合的区分,张明楷,清华大学法学院,88.2,3.13,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,comparative_localization
6,1764,刑法学,刑法学,法学研究,2022,论选择性要素的认识错误,柏浪涛,华东师范大学法学院,88.075,2.87,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,comparative_localization
7,1337,刑法学,刑法学,法学研究,2018,受贿犯罪的保护法益,张明楷,清华大学法学院,88.025,3.45,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
8,1574,民商法学,民商法学,法学研究,2022,民法典所有权保留之担保权构成,纪海龙,北京大学法学院,87.975,5.86,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,comparative_localization
9,1824,知识产权法学,知识产权法学,法学研究,2025,集体商标和证明商标保护体系的重构,王迁,华东政法大学,87.8,2.94,E1+E2,五轴归属10分主池,10,2,2,2,2,2,high,False,chinese_doctrinal
10,1710,民商法学,民商法学,法学研究,2024,董事间披露义务的法律构造,袁崇霖,清华大学法学院,87.75,3.55,E1+E2+E3,五轴归属10分主池,10,2,2,2,2,2,high,False,comparative_localization
