专家清单序号,论文编号,期刊,年份,期,题目,作者,作者机构,专家审阅学科,AI辅助内容评价分,AI辅助内容评价分区间,分歧值（以标准差衡量）,分歧区间,候选来源,核验模型,主要对应学科,次要对应学科,标识性概念对应,原创性理论对应,框架结构对应,对应条目总数,匹配方法统计,模型核验明细,备注
1,1510,法学研究,2023,5,数字私力救济——基于远程控制网联物的权利实现,王琦,北京航空航天大学法学院,民商法学,89.225,88分及以上,6.54,中等分歧（5<分歧值≤8）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,民法学,数字法学,,契合数字社会的数字法学理论[民法学]（证据：结语：驯服数字私力、促进民法升级）{gpt-5.5-high+qwen3.7-max}；数字经济法治保障理论[数字法学]（证据：数字经济社会中物的网联化，使权利人可以通过远程控制）{gpt-5.5-high+qwen3.7-max},,2,"关键词:2, 语义:5, 双重:0, AI核验:4",qwen3.7-max:民法学/2项；gpt-5.5-high:民法学/2项,"置信度分布:{'high': 1, 'medium': 1}；qwen3.7-max:论文核心为民法学在数字时代的理论延展与制度回应，同时涉及数字法学中关于数字经济法治保障的议题，未涉及宏观法治轨道或国际法相关理论。；gpt-5.5-high:论文核心属于民商法中数字化权利实现与私力救济规制；未实质涉及法治轨道论、法律史运行论、数字安全与发展统筹、国际经济法或国际法相关条目。"
2,1260,法学研究,2020,3,公司决议瑕疵立法的范式转换与体系重构,丁勇,华东政法大学,民商法学,88.625,88分及以上,2.78,低分歧（分歧值≤5）,经过候选复评,qwen3.7-max；gpt-5.5-high,商法学,法理学；民事诉讼法学,法律行为[法理学]（证据：公司决议应按照民事法律行为构建其效力类型）{qwen3.7-max}；行为保全[民事诉讼法学]（证据：只能按民事诉讼法行为保全的一般规则处理）{qwen3.7-max}；商事登记[商法学]（证据：商事登记的外观保护可以避免选任董事的决议无效）{qwen3.7-max}；法律行为 [keyword][法理学]（证据：民事法律行为范式）{gpt-5.5-high}；法律关系 [keyword][法理学]（证据：组织内外法律关系的稳定）{gpt-5.5-high}；行为保全 [keyword][民事诉讼法学]（证据：民事诉讼法行为保全的一般规则）{gpt-5.5-high}；商事登记 [keyword][商法学]（证据：商事登记的外观保护）{gpt-5.5-high},,,7,"关键词:7, 语义:0, 双重:0, AI核验:7",qwen3.7-max:商法学/3项；gpt-5.5-high:商法学/4项,置信度分布:{'high': 2}；qwen3.7-max:论文核心属于公司法（商法学）领域，同时深度交叉了法理学（法律行为理论）与民事诉讼法学（行为保全制度）。法理学中的“法律关系”因属通用词汇且未作专门理论辨析，从严；gpt-5.5-high:论文核心属于公司法上的公司决议瑕疵制度重构。候选项中未列公司法专门条目，故以商法学为主要对应学科；法律史学关系论和经济法学调整对象理论仅无实质关联，未予匹配。
3,1865,法学研究,2025,6,股权转让中的出资义务承担——以组织法与行为法融贯为视角,李宇,浙江大学光华法学院,民商法学,88.625,88分及以上,4.85,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,民商法学,法理学,法律行为[法理学]（证据：股权转让是由转让人发动的法律行为。）{qwen3.7-max}；权利和义务[法理学]（证据：公司是出资债权的权利人，又是股权的义务人。）{qwen3.7-max}；权利和义务 [keyword][法理学]（证据：股东与公司之间互有权利和义务）{gpt-5.5-high}；法律行为 [keyword][法理学]（证据：股权转让是由转让人发动的法律行为）{gpt-5.5-high},,,4,"关键词:5, 语义:5, 双重:0, AI核验:4",qwen3.7-max:民商法学/2项；gpt-5.5-high:民商法学（公司法/商法；候选中无直接公司法条目）/2项,置信度分布:{'medium': 2}；qwen3.7-max:论文核心为民商法学（公司法），但候选知识库中缺乏直接对口的民商法具体条目，故映射至法理学基础概念。国际私法学的“意思自治”属冲突法概念，与本文实体法语境不符；宪；gpt-5.5-high:论文核心为公司法中股权转让出资义务承担，候选条目缺少公司法/商法直接条目。‘意思自治原则’虽出现，但属一般私法自治论据，非国际私法语境；‘备案审查’只是背景，均
4,1238,法学研究,2024,2,债权人代位权的类型化构造,俞彦韬,华东政法大学,民商法学,88.45,88分及以上,3.31,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,民法学,民事诉讼法学,民事诉讼法[民事诉讼法学]（证据：民诉法解释第499条）{gpt-5.5-high},债法体系的理论创新[民法学]（证据：民法典将代位权规则置于新设的“合同的保全”章）{gpt-5.5-high+qwen3.7-max},,2,"关键词:3, 语义:29, 双重:1, AI核验:3",qwen3.7-max:民法学/1项；gpt-5.5-high:民法学/2项,置信度分布:{'high': 2}；qwen3.7-max:论文核心探讨民法典中债权人代位权的实体法构造及其与程序法的协调，属于民法学中债法保全体系的理论创新。虽涉及强制执行等程序法背景，但核心落脚点为民法教义学。；gpt-5.5-high:论文核心属于民法债法与合同保全制度研究；民事诉讼法仅作为强制执行程序背景构成次要对应。其他候选条目多为偶然词语或抽象相似，未构成实质对应。
5,1606,法学研究,2016,1,法条竞合与想象竞合的区分,张明楷,清华大学法学院,刑法学,88.2,88分及以上,3.13,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,刑法学,法理学,公平正义[法理学]（证据：旨在实现刑法的公平正义，实现刑罚的特殊预防）{qwen3.7-max},,犯罪论（犯罪概念、犯罪构成、排除犯罪事由、共同犯罪、罪数形态）[刑法学]（证据：法条竞合仍属单纯一罪...而想象竞合原本为数罪）{gpt-5.5-high+qwen3.7-max}；刑法基础论（刑法概说、基本原则、刑法效力）[刑法学]（证据：罪刑相适应是刑法的基本原则，必须得到贯彻）{qwen3.7-max},3,"关键词:5, 语义:2, 双重:0, AI核验:4",qwen3.7-max:刑法学/3项；gpt-5.5-high:刑法学/1项,置信度分布:{'high': 2}；qwen3.7-max:论文是刑法学罪数形态领域的经典文献，同时其论证深度触及了刑法基本原则与法理学的公平正义价值。；gpt-5.5-high:文中虽出现“公平正义”“罪刑相适应”等表述，但主要用于刑法解释结论的价值论证，不构成对法理学标识性概念的实质展开；其他候选条目未见核心对应。
6,1764,法学研究,2022,5,论选择性要素的认识错误,柏浪涛,华东师范大学法学院,刑法学,88.075,88分及以上,2.87,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,刑法学,,犯罪构成[刑法学]（证据：某个要素若是客观构成要件要素，则应成为故意的认识内容）{gpt-5.5-high+qwen3.7-max},,犯罪论（犯罪概念、犯罪构成、排除犯罪事由、共同犯罪、罪数形态）[刑法学]（证据：首要的问题在于该选择性要素是不是客观构成要件要素）{gpt-5.5-high+qwen3.7-max},2,"关键词:5, 语义:2, 双重:1, AI核验:4",qwen3.7-max:刑法学/2项；gpt-5.5-high:刑法学/2项,置信度分布:{'high': 2}；qwen3.7-max:论文核心聚焦于刑法学中的构成要件要素与认识错误理论，与刑事诉讼法、数字法学及知识产权法学无关。；gpt-5.5-high:论文虽偶然出现犯罪嫌疑人、方法论等词，但非核心论证内容；不对应刑事诉讼法学、数字法学或知识产权法学条目。
7,1337,法学研究,2018,1,受贿犯罪的保护法益,张明楷,清华大学法学院,刑法学,88.025,88分及以上,3.45,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,刑法学,,罪刑法定原则[刑法学]（证据：基于罪刑法定原则而无法进行处罚）{gpt-5.5-high},,犯罪论（犯罪概念、犯罪构成、排除犯罪事由、共同犯罪、罪数形态）[刑法学]（证据：无论是犯罪论体系的建构，还是特定条文的解释）{gpt-5.5-high+qwen3.7-max},2,"关键词:5, 语义:4, 双重:0, AI核验:3",qwen3.7-max:刑法学/1项；gpt-5.5-high:刑法学/2项,置信度分布:{'high': 2}；qwen3.7-max:论文实际作者为劳东燕（文本内文已标明）。文章深度探讨受贿罪的保护法益与构成要件解释，高度契合刑法学犯罪论框架。因文本未明确出现“罪刑法定原则”等字眼，依从严原则；gpt-5.5-high:论文核心属于刑法学中受贿犯罪法益与构成要件解释研究；其他候选条目仅有偶然词语或引用关联，未构成实质对应。
8,1574,法学研究,2022,6,民法典所有权保留之担保权构成,纪海龙,北京大学法学院,民商法学,87.975,85-88分,5.86,中等分歧（5<分歧值≤8）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,民法学,,,,第二：物权理论[民法学]（证据：所有权保留交易中出卖人享有的权利应为担保物权）{gpt-5.5-high+qwen3.7-max},1,"关键词:1, 语义:8, 双重:0, AI核验:2",qwen3.7-max:民法学/1项；gpt-5.5-high:民法学/1项,置信度分布:{'high': 2}；qwen3.7-max:论文主要探讨民法典中所有权保留制度的物权定性问题，论证其担保权构成，高度契合民法学中的物权理论框架。；gpt-5.5-high:论文虽涉及立法论、解释论和制度继受史，但其核心为民法典下所有权保留的物权定性，并非法律史学运行论；亦不涉及土地公有制物权理论、知识产权、侵权或商法治理论。
9,0956,中国社会科学,2015,11,公序良俗原则与诚实信用原则的区分,于飞,"中国政法大学民商经济法学院,北京100088",法学理论,87.875,85-88分,3.09,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,民法学,法理学,法律行为[法理学]（证据：公序良俗原则针对法律行为的内容进行“内容审查”）{gpt-5.5-high+qwen3.7-max},,第一：民法总则与基本原理[民法学]（证据：均为民法基本原则，均覆盖民法全领域）{gpt-5.5-high+qwen3.7-max},2,"关键词:4, 语义:9, 双重:1, AI核验:4",qwen3.7-max:民法学/2项；gpt-5.5-high:民法学/2项,置信度分布:{'high': 2}；qwen3.7-max:论文专家审阅学科虽为法学理论，但实质研究内容为民法学中的基本原则。法理学中的“法律行为”概念在文中作为界定原则适用范围的核心客体被实质性使用，故列为次要对应。；gpt-5.5-high:文中虽出现社会公共利益、不正当竞争、解释论等表述，但均服务于民法基本原则论证，不构成对经济法学、知识产权法学或法律史学条目的实质对应。
10,1824,法学研究,2025,2,集体商标和证明商标保护体系的重构,王迁,华东政法大学,知识产权法学,87.8,85-88分,2.94,低分歧（分歧值≤5）,经过候选复评,qwen3.7-max；gpt-5.5-high,知识产权法学,,,商标相似性与混淆可能性之关系[知识产权法学]（证据：以容易导致来源混淆为前提）{gpt-5.5-high},,1,"关键词:1, 语义:4, 双重:0, AI核验:1",qwen3.7-max:知识产权法学/0项；gpt-5.5-high:知识产权法学/1项,"置信度分布:{'high': 1, 'medium': 1}；qwen3.7-max:论文核心探讨集体商标与证明商标的注册条件（显著性）与侵权认定标准（来源混淆）的重构。候选条目中的原创性理论（如商标相似性与混淆可能性之关系、注册商标权与在后权利；gpt-5.5-high:论文核心是集体商标、证明商标保护体系重构，重点在显著性、注册条件与侵权标准。候选条目中仅“混淆可能性”相关理论有实质对应；未见对商标注册行为要式性、在后权利平衡"
11,1710,法学研究,2024,5,董事间披露义务的法律构造,袁崇霖,清华大学法学院,民商法学,87.75,85-88分,3.55,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,商法学,,公司治理[商法学]（证据：逐渐成为公司治理法制的趋势）{qwen3.7-max}；公司治理 [keyword][商法学]（证据：公司治理法制的趋势）{gpt-5.5-high},,,2,"关键词:6, 语义:1, 双重:0, AI核验:2",qwen3.7-max:商法学/1项；gpt-5.5-high:商法学/1项,置信度分布:{'high': 2}；qwen3.7-max:论文虽提及行政处罚与法律责任，但均作为引例或具体部门法应用，未上升至行政法学或法理学的一般理论探讨，故仅实质对应商法学的公司治理。；gpt-5.5-high:行政处罚、行政复议仅为案例背景；法律责任、侵权责任等虽有相关表述，但论文核心是公司法上的董事义务与公司治理，并非对应法理学或民法侵权责任理论。
12,1711,法学研究,2023,4,虚假陈述比例连带责任的认定模式与体系展开,邹学庚,中国政法大学民商经济法学院,民商法学,87.75,85-88分,3.93,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,民法学,,,,第七：侵权责任理论[民法学]（证据：关键词含数人侵权、民事责任，探讨比例连带责任。）{gpt-5.5-high+qwen3.7-max},1,"关键词:1, 语义:5, 双重:0, AI核验:2",qwen3.7-max:民法学/1项；gpt-5.5-high:民法学/1项,置信度分布:{'high': 2}；qwen3.7-max:论文为典型的民商法学研究，聚焦证券虚假陈述中的数人侵权责任形态（比例连带责任），与民法学侵权责任理论框架高度契合。其他候选条目与论文核心论证无关。；gpt-5.5-high:论文虽频繁使用“责任”表述，但系民商法中具体民事侵权责任分析，不宜泛化对应法理学“法律责任”。其他候选条目未构成实质关联。
13,1307,法学研究,2020,4,刑民交叉实体问题的解决路径——“法律效果论”之展开,陈少青,对外经济贸易大学法学院,刑法学,87.7,85-88分,3.31,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,刑法学,民法学；法理学,罪刑法定原则[刑法学]（证据：罪刑法定原则要求犯罪构成的各个要素须具有明确性）{gpt-5.5-high+qwen3.7-max}；犯罪构成[刑法学]（证据：罪刑法定原则要求犯罪构成的各个要素须具有明确性）{gpt-5.5-high+qwen3.7-max}；民事法律关系[民法学]（证据：民事法律事实是引起民事法律关系变动的客观事实）{gpt-5.5-high+qwen3.7-max},,犯罪论（犯罪概念、犯罪构成、排除犯罪事由、共同犯罪、罪数形态）[刑法学]（证据：民法确立的权利归属是否影响刑法的犯罪认定）{gpt-5.5-high+qwen3.7-max}；第一：民法总则与基本原理[民法学]（证据：能否以违法性为标准将民事法律事实分为合法行为和违法行为）{gpt-5.5-high+qwen3.7-max}；刑法基础论（刑法概说、基本原则、刑法效力）[刑法学]（证据：引入刑法补充性原则）{gpt-5.5-high}；第三部分：价值论（法的价值与评价）[法理学]（证据：刑民法律效果可以共存）{gpt-5.5-high},7,"关键词:3, 语义:19, 双重:2, AI核验:12",qwen3.7-max:刑法学/5项；gpt-5.5-high:刑法学/7项,置信度分布:{'high': 2}；qwen3.7-max:论文核心在于刑法学中的犯罪认定与刑民交叉问题，同时深度涉及民法学总则中的民事法律事实与违法性理论，故主要对应刑法学，次要对应民法学。法理学中的“法秩序统一性”等；gpt-5.5-high:论文核心是刑民交叉实体问题中的刑法犯罪认定与民法效力、权利归属的协调；未实质涉及刑事责任理论、刑事诉讼强制措施、知识产权或法律史等条目。
14,1428,法学研究,2025,2,实体性查封优先权的理论证成及体系展开,马强伟,上海财经大学法学院,诉讼法学,87.7,85-88分,2.58,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,民事诉讼法学,民法学,民事诉讼法[民事诉讼法学]（证据：我国民事诉讼法第255条第1款第1句针对不动产）{gpt-5.5-high+qwen3.7-max},,,1,"关键词:4, 语义:1, 双重:0, AI核验:2",qwen3.7-max:民事诉讼法学/1项；gpt-5.5-high:民事诉讼法学/1项,"置信度分布:{'medium': 1, 'high': 1}；qwen3.7-max:候选条目中缺乏直接对应“强制执行法”或“查封优先权”的细分条目，故主要匹配至民事诉讼法学的基础标识性概念。论文亦深度涉及民法学中的担保物权与债权保全（撤销权）制；gpt-5.5-high:论文虽大量涉及担保物权、债权保全、法律行为等民法概念，但候选民法条目为“侵权责任理论”，并非论文核心论证对象；“法律行为”仅属局部语境，不能认定为实质对应。"
15,1615,法学研究,2019,1,注意义务的规范本质与判断标准,陈璇,中国人民大学刑事法律科学研究中心,法学理论,87.7,85-88分,5.8,中等分歧（5<分歧值≤8）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,刑法学,法学理论,正当防卫[刑法学]（证据：正当防卫人之所以）{gpt-5.5-high},刑事责任理论[刑法学]（证据：行政责任与刑事责任相混同）{gpt-5.5-high},,2,"关键词:4, 语义:2, 双重:0, AI核验:2",qwen3.7-max:刑法学/0项；gpt-5.5-high:刑法学/2项,置信度分布:{'high': 2}；qwen3.7-max:论文核心探讨刑法过失犯中的注意义务规范本质、判断标准及被容许的风险，属于刑法学犯罪论（过失犯论与客观归责）范畴。候选知识库条目（如正当防卫、刑事责任理论、刑事制；gpt-5.5-high:论文核心属于刑法中过失犯与注意义务判断问题。法理学“法律关系”仅为一般表述，不构成实质对应；国际私法和国际法条目与论文主题无关。
