paper_id,paper,研究创新性,研究创新性_std,现状洞察度,现状洞察度_std,理论建构力,理论建构力_std,逻辑连贯性,逻辑连贯性_std,学术共识度,学术共识度_std,前瞻延展性,前瞻延展性_std,ccb_score,round1_avg_std,round2_avg_std
1,raw/jiaodafaxue/664472307_孙远钊_2015_交大法学_《著作权法（修订草案送审稿）》修改与完善建议.md,28.75,8.93,27.5,18.87,32.5,10.31,72.25,4.71,70.0,12.63,65.5,6.58,39.35,20.23,11.93
2,raw/jiaodafaxue/664472308_张红斌和左玉茹_2015_交大法学_《著作权法（修订草案送审稿）》评述.md,34.25,1.3,61.25,2.59,27.5,12.99,70.5,1.66,59.0,16.08,66.75,3.7,47.94,14.13,7.38
3,raw/jiaodafaxue/664472309_焦和平_2015_交大法学_发行权规定的现存问题与改进建议——兼评《著作权法（修订草案送审稿）》相关规定.md,30.0,0.0,2.5,4.33,6.25,6.5,30.0,11.73,10.0,12.25,17.5,10.31,19.34,14.22,8.67
4,raw/jiaodafaxue/664472310_徐彦冰_2015_交大法学_论软件修改权在第三方插件侵权中的适用——兼评《著作权法（修订草案送审稿）》第13条第3款第8项.md,30.0,0.0,0.0,0.0,6.75,6.83,13.75,12.93,2.5,4.33,12.5,8.29,15.01,11.38,6.23
5,raw/jiaodafaxue/664472311_熊琦_2015_交大法学_著作权公共许可的功能转型与立法应对.md,22.5,12.99,3.75,4.15,7.5,12.99,31.25,13.86,7.5,8.29,5.0,5.0,17.5,11.18,11.03
6,raw/jiaodafaxue/664472312_田雷_2015_交大法学_两种居留权案件——香港基本法第24条解释的第三条道路.md,25.0,14.58,0.0,0.0,25.0,7.07,10.0,6.12,2.5,4.33,2.5,4.33,15.59,12.28,7.02
7,raw/jiaodafaxue/664472313_陈道英_2015_交大法学_ICP对用户言论的法律责任——以表达自由为视角.md,26.25,6.5,3.25,2.05,10.0,6.12,13.75,13.86,12.5,12.99,5.0,5.0,15.03,10.45,8.97
8,raw/jiaodafaxue/664472314_陈洪杰_2015_交大法学_运动式治理中的法院功能嬗变（下）.md,31.25,2.17,10.0,0.0,17.0,4.12,10.0,10.0,3.75,6.5,21.25,4.15,18.74,14.43,5.18
9,raw/jiaodafaxue/664472315_卢恒飞_2015_交大法学_网络谣言如何扰乱了公共秩序？——兼论网络谣言型寻衅滋事罪的理解与适用.md,68.5,14.04,56.25,23.82,45.5,19.7,85.25,4.55,82.25,4.38,62.5,4.82,65.5,21.48,13.75
10,raw/jiaodafaxue/664472316_黄士洲_2015_交大法学_一般反避税立法实践的比较研究——以中国台湾地区、日本与德国税法相关规定与实例为主线.md,67.5,11.97,35.75,24.68,38.25,5.63,64.75,4.55,65.75,19.52,66.75,3.7,54.22,21.78,13.48
11,raw/jiaodafaxue/664472317_缪因知_2015_交大法学_政府性证券监管批判及与民事诉讼之权衡.md,30.0,0.0,1.25,2.17,18.25,5.4,38.75,6.5,22.5,12.99,1.25,2.17,23.22,13.52,5.62
12,raw/jiaodafaxue/664472318_马荣春_2015_交大法学_“主观的超过要素”：一个不适合的域外刑法学命题（下）.md,26.25,2.17,3.75,2.17,5.0,8.66,5.0,5.0,0.0,0.0,2.5,4.33,12.21,8.35,4.3
13,raw/jiaodafaxue/664472319_王贵松_2015_交大法学_依法行政原则对信赖利益的保护——益民公司诉河南省周口市政府等行政行为违法案分析.md,78.0,4.95,54.75,4.55,65.75,6.02,82.5,0.87,82.0,3.08,69.75,8.79,74.43,14.63,5.43
14,raw/jiaodafaxue/665273990_李忠夏_2015_交大法学_国家所有的宪法规范分析以国有财产和自然资源国家所有的类型分析为例.md,39.5,7.3,0.0,0.0,18.75,10.23,5.0,8.66,12.5,9.01,6.25,6.5,18.43,14.5,8.02
15,raw/jiaodafaxue/665273991_林彦_2015_交大法学_自然资源国家所有权的行使主体——以立法为中心的考察.md,30.0,0.0,2.5,4.33,24.5,6.58,30.0,6.12,31.25,2.17,32.5,4.33,22.56,11.47,4.53
16,raw/jiaodafaxue/665273992_单平基和彭诚信_2015_交大法学_“国家所有权”研究的民法学争点.md,45.0,12.75,84.0,2.45,31.75,12.81,76.0,7.87,64.25,13.08,76.0,3.67,59.13,15.05,10.12
17,raw/jiaodafaxue/665273993_成协中_2015_交大法学_城市土地国家所有的实际效果与规范意义.md,36.25,10.83,15.5,2.6,30.0,6.12,37.5,2.5,21.25,13.4,21.25,2.17,30.56,21.12,7.25
18,raw/jiaodafaxue/665273994_程雪阳_2015_交大法学_国家所有权概念史的考察和反思.md,30.0,0.0,0.0,0.0,18.75,11.39,2.5,4.33,16.25,9.6,0.0,0.0,14.49,9.22,4.87
19,raw/jiaodafaxue/665273995_纪海龙_2015_交大法学_法教义学：力量与弱点.md,31.25,2.17,0.0,0.0,27.5,10.31,15.0,10.61,8.75,8.93,5.0,8.66,19.41,10.93,7.82
20,raw/jiaodafaxue/665273996_何欢_2015_交大法学_再议代表人越权对外担保的法律效力——基于公司担保法律规则的体系化解读.md,38.75,9.6,5.0,3.54,21.25,13.86,11.25,7.4,27.5,4.33,6.25,6.5,21.25,24.43,8.7
21,raw/jiaodafaxue/665273997_安·巴托尔(A Ba ow)和朱体正_2015_交大法学_特权商标：冠名权与公共设施（上）.md,50.75,15.3,54.25,6.06,43.75,9.6,74.75,3.27,45.0,10.0,59.5,4.56,55.99,19.22,9.4
22,raw/jiaodafaxue/665273998_李俊明_2015_交大法学_我国损害赔偿金可税性探讨.md,60.75,13.37,72.0,14.35,54.5,31.83,83.0,4.58,73.25,3.7,66.75,5.36,70.53,21.45,14.1
23,raw/jiaodafaxue/665273999_洛塔尔·库伦(Lo ha Kuhle )和蔡桂生_2015_交大法学_论刑法与宪法的关系.md,71.25,18.62,67.5,3.64,58.25,10.8,86.5,2.06,76.0,8.86,69.75,4.02,74.66,17.67,9.23
24,raw/jiaodafaxue/665274000_解亘_2015_交大法学_著作权共有人的权利行使——评齐良芷、齐良末等诉江苏文艺出版社侵犯著作权纠纷案.md,71.25,4.66,76.0,2.35,77.5,3.57,79.5,1.66,79.0,1.73,77.75,3.19,78.41,12.17,3.3
25,raw/jiaodafaxue/666062629_张五常_2015_交大法学_新制度经济学的来龙去脉.md,30.0,0.0,21.25,5.45,18.75,6.5,51.75,31.37,20.0,11.73,67.5,8.29,31.07,25.88,12.18
26,raw/jiaodafaxue/666062630_张五常等_2015_交大法学_解释社会：关于法学和新制度经济学的对话.md,39.25,14.89,37.5,2.5,10.0,6.12,30.0,17.68,66.25,3.03,48.25,14.29,31.5,19.95,11.27
27,raw/jiaodafaxue/666062631_张永健_2015_交大法学_张五常《经济解释》对法律经济学方法论之启示.md,30.0,0.0,0.0,0.0,3.75,6.5,2.5,4.33,7.5,4.33,6.25,6.5,11.84,11.75,4.17
28,raw/jiaodafaxue/666062632_简资修_2015_交大法学_法律作为合约安排.md,60.75,12.21,65.0,3.08,66.25,5.45,85.5,2.6,68.0,17.83,54.5,4.56,70.54,16.72,8.82
29,raw/jiaodafaxue/666062633_杨曜和高薇_2015_交大法学_好的科斯定理和好的法律经济学.md,62.0,5.87,67.5,7.79,35.25,10.28,78.25,3.42,77.75,2.28,53.75,14.32,62.4,20.02,8.45
30,raw/jiaodafaxue/666062634_徐国栋_2015_交大法学_《十二表法》的制定、灭失与还原（上）.md,33.75,4.15,82.0,6.16,32.25,2.77,75.75,5.12,75.5,8.56,56.5,12.93,54.72,13.98,7.63
31,raw/jiaodafaxue/666062635_贡塔·托依布纳和纪海龙_2015_交大法学_社会理论脉络中的法学与法律实践.md,30.0,0.0,0.0,0.0,5.0,8.66,10.0,10.0,5.0,5.0,7.5,8.29,13.82,7.1,6.15
32,raw/jiaodafaxue/666062636_瞿灵敏_2015_交大法学_指导性案例类型化基础上的“参照”解读——以最高人民法院指导性案例为分析对象.md,29.5,0.87,7.5,12.99,10.5,10.52,39.75,17.18,16.25,16.35,5.0,5.0,23.38,13.1,12.12
33,raw/jiaodafaxue/666062637_郑杰_2015_交大法学_小产权房买卖合同的教义学分析.md,30.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,12.65,8.57,1.93
34,raw/jiaodafaxue/666062638_田山輝明和顾祝轩_2015_交大法学_日本成年监护制度——少子、老龄社会的法律制度.md,30.0,0.0,2.5,4.33,2.5,4.33,5.0,8.66,6.25,10.83,0.0,0.0,12.79,10.68,5.42
35,raw/jiaodafaxue/666062639_安·巴托尔和朱体正_2015_交大法学_特权商标：冠名权与公共设施（下）.md,35.0,8.66,0.0,0.0,8.75,5.45,0.0,0.0,6.25,10.83,5.0,5.0,13.9,8.17,5.77
36,raw/jiaodafaxue/666062640_俞小海_2015_交大法学_破坏计算机信息系统罪之司法实践分析与规范含义重构.md,30.0,0.0,2.5,4.33,25.0,2.12,11.25,2.17,8.75,8.93,11.25,2.17,18.24,7.15,3.78
