paper_id,paper,对象归属度,材料归属度,范畴自主度,解释目标归属度,体系映射度,五轴总分,强度,一致性,需复核,R2模式
1,6100043434_李晟_2018_学术月刊_美国宪制中的军政关系 传统与变迁.md,0,0,0,0,0,0,absent,high,False,skip
2,6100043435_刘晗_2018_学术月刊_国内公法的外部维度 美国地缘宪制的深层逻辑.md,0,0,0,0,0,0,absent,high,False,skip
3,6100204231_刘磊_2019_学术月刊_中国土地制度的宪法解释 问题、争议及权衡.md,2,2,2,2,2,10,strong,high,False,skip
4,663320596_梁清华_2015_学术月刊_论中国私募基金管理人注册制度的完善.md,2,2,1,2,1,8,strong,medium,False,full
5,663564065_李莉和石伟_2015_学术月刊_论登记型与占有型动产担保物权的冲突及其消解.md,2,2,1,2,2,9,strong,high,False,skip
6,663983549_许小亮_2015_学术月刊_从国家理性到公共理性——康德政治哲学的革命.md,0,0,0,0,0,0,absent,high,False,skip
7,665987994_杨俊一_2015_学术月刊_依法执政：法治现代化的模型分析与路径选择.md,2,1,1,2,1,7,medium,medium,False,full
8,666246173_许章润_2015_学术月刊_论“家国天下”——对于这一伟大古典汉语修辞义理内涵的文化政治学阐发.md,2,1,2,2,2,9,strong,medium,False,full
9,666611439_吴旭阳_2015_学术月刊_“第三方裁判被收买”对司法公正的影响.md,1,1,0,1,1,4,weak,medium,False,full
10,668194135_莫湘益_2016_学术月刊_检察建议用于刑事个案监督论要.md,2,2,1,2,1,8,strong,medium,False,full
11,669262573_刘水林_2016_学术月刊_车辆限行规制的法经济学分析.md,2,2,1,2,2,9,strong,high,False,full
12,669459536_许小亮_2016_学术月刊_纯粹理性的法律构造——《纯粹理性批判》的法哲学意蕴.md,0,0,0,0,0,0,absent,high,False,skip
13,669459539_吴鹏森_2016_学术月刊_新中国刑释人员社会政策的历史演变.md,2,2,1,2,1,8,strong,medium,False,full
14,669769034_马胜强和吴群芳_2016_学术月刊_当代中国利益表达机制的结构转型——基于国家与社会关系的理论视域.md,1,0,0,0,0,1,absent,medium,False,full
15,670014753_郑戈_2016_学术月刊_学术主体意识与国际化：中国人文社会科学评价规则往何处去？.md,0,0,0,0,0,0,absent,medium,False,full
16,670014762_高全喜_2016_学术月刊_卡尔霍恩的州人民主权论以及美国宪制结构的历史变革.md,0,0,0,0,0,0,absent,high,False,skip
17,671047877_杨俊锋_2017_学术月刊_“人地钱”挂钩之后——中国城市化的体制性障碍与出路.md,2,2,2,2,2,10,strong,high,False,full
18,671047880_刘碧波和李一达_2017_学术月刊_从教派之争到文化战争——美国政教分离的宪法实践.md,0,0,0,0,0,0,absent,high,False,skip
19,671047881_吴旭阳_2017_学术月刊_涪审团模式之行为实验比较研究.md,2,2,1,2,1,8,strong,high,False,light
20,671609379_钟宁桦等_2017_学术月刊_经理人权力与员工工资——来自五百家非上市公司的证据.md,1,2,0,0,1,4,weak,high,False,full
21,671609382_朱圆_2017_学术月刊_脆弱性理论与国家治理责任新解.md,1,0,0,1,0,2,weak,high,False,full
22,671862081_孙丽岩_2017_学术月刊_行政执法中的非强制行为分析.md,2,2,1,2,2,9,strong,high,False,light
23,671862082_张才琴和邱本_2017_学术月刊_“主客体理论”与环保法治建设.md,1,1,0,1,1,4,weak,medium,False,full
24,672116083_宋远升_2017_学术月刊_法治国视阈下司法压力的发生机制及法律规制.md,2,2,1,2,1,8,strong,high,False,light
25,672684080_王云霞_2017_学术月刊_论税法的合作治理机制.md,2,2,2,2,2,10,strong,high,False,skip
26,672684086_尹成波_2017_学术月刊_子孙“自置财产权”研究——以律令和判例为中心.md,2,2,2,2,2,10,strong,high,False,skip
27,673240183_涂永前_2017_学术月刊_论法外选法——瑞士国际私法的实践与启示.md,2,1,0,2,1,6,medium,medium,False,full
28,673240185_钭晓东和黄秀蓉_2017_学术月刊_利益博弈-文化征服-身份认同：遗传资源知识产权的深层解读.md,1,1,0,1,1,4,weak,high,False,full
29,673379229_马洪_2017_学术月刊_绿色原则何以入民法典.md,2,1,0,2,1,6,medium,medium,False,full
30,673776794_张小虎_2017_学术月刊_论刑法上典型异样因果形态的因果关系特别判断.md,0,0,0,0,1,1,absent,low,True,full
31,673776795_关保英_2017_学术月刊_恶法非法论.md,2,1,1,1,2,7,medium,medium,False,full
32,674002484_王文胜_2017_学术月刊_《民法总则》与原有法律司法解释之间的规范竞合及其处理.md,2,2,1,2,2,9,strong,medium,False,full
33,674002486_李宇_2017_学术月刊_新桃换旧符：民法总则上的恶意串通行为无效规范.md,2,2,2,2,2,10,strong,high,False,skip
34,674370112_孟于群和杨署东_2018_学术月刊_国际公共产品供给：加总技术下的制度安排与全球治理.md,0,0,0,0,0,0,absent,medium,False,full
35,674665054_周东平和姚周霞_2018_学术月刊_论佛教对中国传统法律中罪观念的影响.md,2,2,0,2,1,7,medium,low,True,full
36,675009937_高全喜_2018_学术月刊_新制起于南国：烫治宪法学视野下的“东南互保”.md,2,2,1,2,2,9,strong,medium,False,full
37,675009945_彭国翔和王硕_2018_学术月刊_在世界学术的整体中推进中国的人文学-彭国翔教授访谈.md,0,0,0,0,0,0,absent,high,False,skip
38,675245371_张淑芳_2018_学术月刊_论行政规避法律.md,2,2,2,2,2,10,strong,high,False,light
39,675438273_叶榅平_2018_学术月刊_完善自然资源国家所有权行使人大监督立法的法理思考.md,2,2,2,2,2,10,strong,high,False,full
40,675668482_文军和林茂_2018_学术月刊_知识分子：一个概念的社会学考评——基于“德雷福斯事件”的话语权分析.md,0,0,0,0,0,0,absent,high,False,skip
41,675668486_李斯特_2018_学术月刊_坏声明与好法治——社会主义中国文艺法律政策中的权利书写.md,2,2,2,2,2,10,strong,high,False,light
42,676037573_陈柏峰_2018_学术月刊_村务民主治理的类型与机制.md,2,2,2,2,2,10,strong,high,False,skip
43,676037574_郭亮_2018_学术月刊_村级组织的土地控制：功能及其弱化——理解地权冲突的一个视角.md,2,2,2,2,2,10,strong,high,False,skip
44,676037575_李娜_2018_学术月刊_基层社会的秩序生产能力——从计划性与自发性秩序的关系切入.md,2,2,2,2,2,10,strong,high,False,skip
45,676636432_章永乐_2018_学术月刊_“大国协调”与“大妥协”：条约网络、银行团与辛亥革命的路径.md,2,1,1,1,1,6,medium,medium,False,full
46,676636433_王鸿铭和马佳昌_2018_学术月刊_中国革命和世界政治视野下的民主集中制.md,1,1,0,1,1,4,weak,low,True,full
47,676838582_蔡守秋_2018_学术月刊_环境权实践与理论的新发展.md,1,0,1,1,2,5,medium,medium,False,full
48,676838583_朱冰_2018_学术月刊_自然资源“环境权”在财产法中的理论逻辑.md,2,2,2,2,2,10,strong,high,False,light
49,7001738926_尤陈俊_2019_学术月刊_“讼师恶报”话语模式的力量及其复合功能.md,2,2,2,2,2,10,strong,high,False,light
50,7001738927_杜金_2019_学术月刊_故事、图像与法律宣传——以清代《圣谕像解》为素材.md,2,2,1,1,1,7,medium,medium,False,full
51,7002154030_罗梁波_2019_学术月刊_行政理性场景的演变格局 传统、现实与未来.md,0,0,0,0,0,0,absent,high,False,skip
52,7002363983_翟翌_2019_学术月刊_作为特许人的行政主体与“受许人的对象人”之间关系的变迁及价值——一个行政过程论的视角.md,2,2,1,2,2,9,strong,medium,False,full
53,7002363985_岳林_2019_学术月刊_论隐私的社会生成机制——以习俗和法律关系为视角.md,0,0,0,0,0,0,absent,high,False,full
54,7002655982_王利明_2019_学术月刊_论民法典物权编中居住权的若干问题.md,2,2,2,2,2,10,strong,high,False,light
55,7002655983_汪洋_2019_学术月刊_从用益权到居住权 罗马法人役权的流变史.md,1,0,0,1,1,3,weak,high,False,full
56,7002846475_赖骏楠_2019_学术月刊_清末四川财政的 集权 与 分权 之争 以经征局设立及其争议为切入点.md,2,2,1,2,2,9,strong,high,False,full
57,7002846476_谢晶_2019_学术月刊_儒法之间的刑罚根据论 清律窃盗罚则的古今之维.md,2,2,2,2,2,10,strong,high,False,light
58,7003025618_常安_2019_学术月刊_缔造社会主义的中华民族大家庭——新中国民族区域自治制度的奠基历程.md,2,2,2,2,2,10,strong,high,False,light
59,7003025619_翟志勇_2019_学术月刊_《共同纲领》与新中国的不成文宪法(1949-1954).md,2,2,2,2,2,10,strong,high,False,skip
60,7100212662_强世功_2019_学术月刊_批判法律理论的场域——从《秋菊打官司》看批判法律理论的转向.md,2,2,2,2,2,10,strong,high,False,skip
