专家清单序号,论文编号,期刊,年份,期,题目,作者,作者机构,专家审阅学科,AI辅助内容评价分,AI辅助内容评价分区间,分歧值（以标准差衡量）,分歧区间,候选来源,主要对应学科,次要对应学科,标识性概念对应,原创性理论对应,框架结构对应,对应条目总数,匹配方法统计,备注
1,1510,法学研究,2023,5,数字私力救济——基于远程控制网联物的权利实现,王琦,北京航空航天大学法学院,民商法学,89.225,88分及以上,6.54,中等分歧（5<分歧值≤8）,经过候选复评与重点复核,民法学,数字法学,,契合数字社会的数字法学理论[民法学]（证据：物权法的规制作用体现在……合同法的规制作用体现在……）；数字经济法治保障理论[数字法学]（证据：数字经济社会中物的网联化……法律应当予以积极规制）,,2,"关键词:2, 语义:5, 双重:0, AI核验:2",置信度:high；论文核心论证完全依托民法教义学（占有保护、合同抗辩、格式条款规制），故民法学为主；数字法学为交叉次要学科。其他候选条目与本文核心论证无实质关联。
2,1260,法学研究,2020,3,公司决议瑕疵立法的范式转换与体系重构,丁勇,华东政法大学,民商法学,88.625,88分及以上,2.78,低分歧（分歧值≤5）,经过候选复评,商法学,法理学；民事诉讼法学,法律行为[法理学]（证据：现行法套用民事法律行为范式，以瑕疵决议一律自始无效）；行为保全[民事诉讼法学]（证据：只能按民事诉讼法行为保全的一般规则处理）；商事登记[商法学]（证据：商事登记的外观保护（民法总则第６５条））,,,3,"关键词:7, 语义:0, 双重:0, AI核验:3",置信度:high；论文实质属商法学（公司法）范畴。核心论证围绕批判民事法律行为范式展开，程序机制涉及行为保全，商事登记为辅助概念。其余候选条目未实质涉及。
3,1865,法学研究,2025,6,股权转让中的出资义务承担——以组织法与行为法融贯为视角,李宇,浙江大学光华法学院,民商法学,88.625,88分及以上,4.85,低分歧（分歧值≤5）,经过候选复评与重点复核,民法学,法理学,权利和义务[法理学]（证据：股东对公司负有积极义务……同时享有财产权）；法律行为[法理学]（证据：股权转让是由转让人发动的法律行为。）；意思自治原则[国际私法学]（证据：在内在价值上应以意思自治原则为圭臬）,,,3,"关键词:5, 语义:5, 双重:0, AI核验:3",置信度:medium；论文实质属民商法学，但候选库中民法学仅列“侵权责任理论”，与本文公司资本/债务承担主题不符，故未匹配。依要求排除了仅作文献背景提及的“备案审查”。匹配项均为核心论证所实质运用。
4,1238,法学研究,2024,2,债权人代位权的类型化构造,俞彦韬,华东政法大学,民商法学,88.45,88分及以上,3.31,低分歧（分歧值≤5）,经过候选复评与重点复核,民法学,民事诉讼法学,,债法体系的理论创新[民法学]（证据：抑或应由法教义学的“手术刀”分离这对“连体婴儿”）,,1,"关键词:3, 语义:29, 双重:1, AI核验:1",置信度:high；论文核心聚焦民法典债之保全制度，通过实体与程序交叉视角提出代位权类型化教义学构造，实质对应民法学债法体系创新。民事诉讼法学为次要对应，因论证深度依赖强制执行程序规则进行必要性证成，但知识库相关条目匹配度有限。
5,1606,法学研究,2016,1,法条竞合与想象竞合的区分,张明楷,清华大学法学院,刑法学,88.2,88分及以上,3.13,低分歧（分歧值≤5）,经过候选复评与重点复核,刑法学,法理学,标识性概念：公平正义 [keyword][法理学]（证据：实现刑法的公平正义，实现特殊预防与一般预防目的）,,框架结构：刑法基础论（刑法概说、基本原则、刑法效力） [keyword]；犯罪论（犯罪概念、犯罪构成、排除犯罪事由、共同犯罪、罪数形态） [keyword][刑法学]（证据：法条竞合仍属单纯一罪……想象竞合原本为数罪）,2,"关键词:5, 语义:2, 双重:0, AI核验:2",置信度:high；论文虽涉及刑法解释论与量刑后果，但核心论证紧密围绕罪数形态展开；公平正义作为实质判断的法理价值支撑，列为次要对应。
6,1764,法学研究,2022,5,论选择性要素的认识错误,柏浪涛,华东师范大学法学院,刑法学,88.075,88分及以上,2.87,低分歧（分歧值≤5）,经过候选复评与重点复核,刑法学,,犯罪构成[刑法学]（证据：客观构成要件要素决定了故意的认识内容）,,犯罪论（犯罪概念、犯罪构成、排除犯罪事由、共同犯罪、罪数形态）[刑法学]（证据：首要问题在于选择性要素是不是客观构成要件要素）,2,"关键词:5, 语义:2, 双重:1, AI核验:2",置信度:high；论文聚焦刑法教义学中的构成要件理论与事实认识错误，未涉及诉讼法、数字法学或知识产权法内容，故仅对应刑法学条目。
7,1337,法学研究,2018,1,受贿犯罪的保护法益,张明楷,清华大学法学院,刑法学,88.025,88分及以上,3.45,低分歧（分歧值≤5）,经过候选复评与重点复核,刑法学,,罪刑法定原则[刑法学]（证据：认为基于罪刑法定原则而无法进行处罚）,,犯罪论（犯罪概念、犯罪构成、排除犯罪事由、共同犯罪、罪数形态）[刑法学]（证据：将“为他人谋取利益”定位为表明徇私动机的主观要素）；刑法基础论（刑法概说、基本原则、刑法效力）[刑法学]（证据：刑法学界日益注重保护法益对于构成要件解释所具有的指导机能）,3,"关键词:5, 语义:4, 双重:0, AI核验:3",置信度:high；文本显示作者实为劳东燕，但学科与内容高度契合刑法学。论证聚焦法益理论与构成要件解释，未涉及其他候选学科条目。
8,1574,法学研究,2022,6,民法典所有权保留之担保权构成,纪海龙,北京大学法学院,民商法学,87.975,85-88分,5.86,中等分歧（5<分歧值≤8）,经过候选复评与重点复核,民法学,法律史学,,,第二：物权理论[民法学]（证据：功能主义担保观会将所有权形式的担保功能化为担保物权）；运行论（立法论、实施论、解释论）[法律史学]（证据：可以在立法论和解释论层面提出相应建议）,2,"关键词:1, 语义:8, 双重:0, AI核验:2",置信度:high；论文聚焦民法典动产担保制度中的所有权保留定性问题，核心论证属于民法学物权理论范畴；同时大量运用历史解释、比较法及立法/解释论分析，故次要对应法律史学运行论框架。其他候选条目与论文实质内容无关。
9,0956,中国社会科学,2015,11,公序良俗原则与诚实信用原则的区分,于飞,"中国政法大学民商经济法学院,北京100088",法学理论,87.875,85-88分,3.09,低分歧（分歧值≤5）,经过候选复评与重点复核,民法学,法理学,法律行为[法理学]（证据：公序良俗原则针对法律行为的内容进行“内容审查”）,,第一：民法总则与基本原理[民法学]（证据：公序良俗原则与诚实信用原则……均为民法基本原则）,2,"关键词:4, 语义:9, 双重:1, AI核验:2",置信度:high；论文虽标注法学理论审阅学科，但实质内容高度聚焦民法基本原则的理论建构与裁判适用，故民法学为主要对应学科。法理学条目仅因“法律行为”概念的基础性地位而对应。
10,1824,法学研究,2025,2,集体商标和证明商标保护体系的重构,王迁,华东政法大学,知识产权法学,87.8,85-88分,2.94,低分歧（分歧值≤5）,经过候选复评,知识产权法学,,知识产权法[知识产权法学]（证据：商标法保护集体商标、证明商标的体系问题）,商标相似性与混淆可能性之关系[知识产权法学]（证据：侵权认定标准……从而与来源混淆脱钩）,,2,"关键词:1, 语义:4, 双重:0, AI核验:2",置信度:high；仅匹配知识库中实际涉及的条目。‘商标注册行为的要式性’侧重形式要件，本文核心为实质注册条件（显著性）；其余两项平衡/平行保护理论未在论证中体现。
11,1710,法学研究,2024,5,董事间披露义务的法律构造,袁崇霖,清华大学法学院,民商法学,87.75,85-88分,3.55,低分歧（分歧值≤5）,经过候选复评与重点复核,商法学,法理学；法律史学,公司治理[商法学]（证据：公司治理法制的趋势；影响着公司治理绩效）；法律责任[法理学]（证据：实现董事集体责任与个体责任的区分和兼容；责任减免的关键因素）,,运行论（立法论、实施论、解释论）[法律史学]（证据：从体系解释的角度来看……从立法论的角度来看……）,3,"关键词:6, 语义:1, 双重:0, AI核验:3",置信度:high；论文虽提及行政处罚等行政法概念，但仅作为实务背景引证，非核心论证；企业家精神理论仅在脚注文献中出现，未作实质展开，故不予匹配。核心聚焦商法公司治理与责任构造，兼采法理学责任理论与法学方法论框架。
12,1711,法学研究,2023,4,虚假陈述比例连带责任的认定模式与体系展开,邹学庚,中国政法大学民商经济法学院,民商法学,87.75,85-88分,3.93,低分歧（分歧值≤5）,经过候选复评与重点复核,民法学,,,,第七：侵权责任理论[民法学]（证据：以过错和因果关系为标准认定责任比例及内外部分配）,1,"关键词:1, 语义:5, 双重:0, AI核验:1",置信度:high；论文虽涉及比较法，但核心立足中国民法典侵权责任体系；未实质触及国际法、刑法或知产法条目；“法律责任”属上位通用概念，论文聚焦民事侵权具体责任形态的教义学展开，故从严仅匹配民法学框架结构。
13,1307,法学研究,2020,4,刑民交叉实体问题的解决路径——“法律效果论”之展开,陈少青,对外经济贸易大学法学院,刑法学,87.7,85-88分,3.31,低分歧（分歧值≤5）,经过候选复评与重点复核,刑法学,民法学；法理学,罪刑法定原则[刑法学]（证据：罪刑法定原则要求犯罪构成的各个要素须具有明确性）；民事法律关系[民法学]（证据：民事法律事实是引起民事法律关系变动的客观事实）,,犯罪论（犯罪概念、犯罪构成、排除犯罪事由、共同犯罪、罪数形态）[刑法学]（证据：影响犯罪认定，对罪与非罪、此罪与彼罪的区分产生影响）；第三部分：价值论（法的价值与评价）[法理学]（证据：刑民规范目的整体一致或明显对立，需维护法秩序统一性）,4,"关键词:3, 语义:19, 双重:2, AI核验:4",置信度:high；论文立足刑法教义学批判传统违法论并提出法律效果论，主要对应刑法学；民法学与法理学为支撑性交叉学科，用于论证规范冲突与体系融贯。
14,1428,法学研究,2025,2,实体性查封优先权的理论证成及体系展开,马强伟,上海财经大学法学院,诉讼法学,87.7,85-88分,2.58,低分歧（分歧值≤5）,经过候选复评与重点复核,民事诉讼法学,,民事诉讼法[民事诉讼法学]（证据：我国现行执行法采“混合主义”模式）,,,1,"关键词:4, 语义:1, 双重:0, AI核验:1",置信度:high；候选条目中仅民事诉讼法学高度契合。民法学候选为侵权责任理论，与本文担保物权及债权执行主题无关；其余条目无实质对应。
15,1615,法学研究,2019,1,注意义务的规范本质与判断标准,陈璇,中国人民大学刑事法律科学研究中心,法学理论,87.7,85-88分,5.8,中等分歧（5<分歧值≤8）,经过候选复评与重点复核,刑法学,,,刑事责任理论[刑法学]（证据：行政责任与刑事责任混同…成立过失犯不法的前提）,,1,"关键词:4, 语义:2, 双重:0, AI核验:1",置信度:high；论文核心属刑法学犯罪论/过失犯理论，与候选库中“刑事责任理论”在归责基础层面实质对应；正当防卫、法律关系等仅为辅助类比或偶然提及，非核心论证。
16,0319,中国法学,2023,2,基本权利私人间效力法理基础的澄清与重构,杨登杰,北京航空航天大学法学院,民商法学,87.675,85-88分,8.84,较高分歧（分歧值>8）,经过候选复评与重点复核,宪法学,法理学；人权法学,新时代中国宪法理论[宪法学]（证据：植根于中国社会主义宪法之“体”，与其全面根本法理念契合无间。）；当代中国人权观[人权法学]（证据：体现中道权利观的全面的、实际的、群己平衡的自由。）,,第四：基本权利论[宪法学]（证据：基本权利的价值内涵是证成基本权利私人间效力的起点。）,3,"关键词:3, 语义:8, 双重:0, AI核验:3",置信度:high；论文虽由民商法学专家审阅，但核心论证属宪法教义学与法理学交叉。主要对应宪法学基本权利理论及中国宪法自主理论构建，次要涉及人权观与法理层面的公私法关系重构。
17,0101,中国法学,2024,3,中国特色反腐败制度框架下贿赂犯罪法益的确定,陈金林,武汉大学法学院,刑法学,87.675,85-88分,4.74,低分歧（分歧值≤5）,经过候选复评与重点复核,刑法学,,,腐败犯罪刑事治理理论[刑法学]（证据：构建腐败犯罪动态防控结构，融合党内法规与刑事立法等手段）,,1,"关键词:2, 语义:1, 双重:0, AI核验:1",置信度:high；论文核心为刑法教义学本土化建构。'社会危害性理论'仅结语背景提及；'党内法规'属违纪处置配套手段，未作独立法理概念展开，依从严标准均不纳入对应。
18,1779,法学研究,2024,5,财产犯罪中财产性利益的事实占有：以存款债权为中心,徐凌波,南京大学法学院,刑法学,87.675,85-88分,4.27,低分歧（分歧值≤5）,经过候选复评与重点复核,刑法学,,,,犯罪论（犯罪概念、犯罪构成、排除犯罪事由、共同犯罪、罪数形态）[刑法学]（证据：区分占有与所有是盗窃罪规范构造的基石）,1,"关键词:2, 语义:6, 双重:0, AI核验:1",置信度:high；论文核心论证围绕财产犯罪（盗窃罪）的占有概念与实行行为构造展开，属于刑法犯罪论中的犯罪构成要件解释范畴。虽提及民事权利分配规则，但仅作为刑法独立判断的前提参照，未实质对应候选列表中的民法学具体条目。
19,1200,法学研究,2019,4,代理公开的例外类型和效果,"朱虎[1,2]",中国人民大学民商事法律科学研究中心;中国人民大学法学院,民商法学,87.6,85-88分,3.15,低分歧（分歧值≤5）,经过候选复评,民法学,法理学；立法学,法律行为[法理学]（证据：代理是一种效果直接归属规范，而非行为效力规范）；法律关系[法理学]（证据：区分了被代理人、代理人和相对人之间的内部关系）；法典编纂[立法学]（证据：民法典编纂中代理制度的体系整合）,利益平衡理论[知识产权法学]（证据：妥当平衡被代理人、代理人和相对人的三方利益）,,4,"关键词:4, 语义:2, 双重:0, AI核验:4",置信度:medium；论文实质属民商法代理制度研究，候选条目中民法学框架结构（侵权责任理论）与本文无关。所列匹配项为跨学科概念/理论在本文教义学论证中的具体应用，核心仍为民法代理规范分析。
20,1885,中国法学,2025,4,论程序法上的犯罪事实,赵常成,南京大学法学院,刑法学,87.55,85-88分,3.39,低分歧（分歧值≤5）,经过候选复评与重点复核,刑事诉讼法学,刑法学,刑事诉讼法[刑事诉讼法学]（证据：《刑事诉讼法》第186条中的“指控犯罪事实”应当解释为）；刑事审判[刑事诉讼法学]（证据：明确法院审理与裁判的界限（控审分离））；犯罪构成[刑法学]（证据：从犯罪构成要件上看，非法侵入住宅罪与故意杀人罪毫无关联）,,犯罪论（犯罪概念、犯罪构成、排除犯罪事由、共同犯罪、罪数形态）[刑法学]（证据：综合考虑犯罪故意的产生、犯罪行为实施的时间、地点等因素）,4,"关键词:5, 语义:3, 双重:2, AI核验:4",置信度:high；本文虽由刑法学专家审阅，但核心议题为程序法上的“犯罪事实同一性”与诉讼标的界定，故主学科为刑事诉讼法学。论文在构建“规范融入”步骤时，深度借用了刑法学犯罪论中的构成要件、法益及罪数理论作为实体评价基准，形成刑事实体法与程序法的交叉论证。
