paper_id,paper,研究创新性,研究创新性_std,现状洞察度,现状洞察度_std,理论建构力,理论建构力_std,逻辑连贯性,逻辑连贯性_std,学术共识度,学术共识度_std,前瞻延展性,前瞻延展性_std,ccb_score,round1_avg_std,round2_avg_std
1,raw/fullpaper/0001-中国法学-2025-2-AIGC版权判定的认知经济性分析-蒋舸-清华大学法学院.pdf,73.25,18.4,87.5,2.87,86.5,1.5,87.25,1.3,91.0,1.73,74.5,5.77,85.24,12.58,6.08
2,raw/fullpaper/0002-中国法学-2016-2-APEC成员合作反腐司法一体化机制构建-楼伯坤-浙江工商大学法学院.pdf,36.25,2.17,45.5,11.86,63.5,14.17,75.5,5.72,68.5,3.5,62.5,4.56,52.47,15.08,8.08
3,raw/fullpaper/0003-中国法学-2016-5-CISG在中国国际商事仲裁中的适用-韩世远-清华大学法学院.pdf,58.5,18.57,85.0,7.68,63.5,1.5,82.75,3.11,78.75,6.5,75.0,3.54,74.32,18.6,7.87
4,raw/fullpaper/0004-中国法学-2024-4-ESG对董事义务的改造_从商业判断到社会判断的进化-蒋大兴-北京大学法学院.pdf,62.5,8.26,68.5,3.5,47.5,8.56,80.75,5.54,76.25,4.38,64.5,4.27,65.56,11.37,6.63
5,raw/fullpaper/0005-中国法学-2017-6-一带一路_争端解决制度研究-王贵国-浙江大学.pdf,36.25,2.17,41.25,10.83,45.75,7.19,77.5,8.29,66.5,6.1,64.25,4.15,48.81,17.2,7.45
6,raw/fullpaper/0006-中国法学-2017-6-一带一路_多元争端解决中心构建的当下与未来-初北平-大连海事大学法学院.pdf,31.25,2.17,39.25,9.58,41.75,4.09,71.5,3.5,67.0,8.92,77.5,2.87,44.46,16.65,5.98
7,raw/fullpaper/0007-中国法学-2017-6-一带一路_建设与公司准据法的确定-邢钢-北京师范大学法学院.pdf,55.0,12.25,69.25,6.76,61.75,10.8,81.75,6.02,83.25,1.3,73.75,3.03,68.84,17.75,7.72
8,raw/fullpaper/0008-中国法学-2019-6-一带一路_背景下铁路提单与铁路运单的协同创新机制-杨临萍-重庆市高级人民法院.pdf,49.25,9.58,53.0,14.98,73.75,9.96,76.25,7.82,85.0,2.12,78.0,0.0,60.81,17.05,8.55
9,raw/fullpaper/0009-中国法学-2023-6-五湖四海_政法系统干部交流机制的发生与形态-刘忠-复旦大学法学院.pdf,76.0,7.97,65.5,8.26,50.5,7.3,80.75,2.95,78.0,3.74,76.25,7.4,73.15,14.38,7.22
10,raw/fullpaper/0010-中国法学-2018-5-人格物_的司法困境与理论突围-冷传莉-贵州大学法学院.pdf,62.5,13.16,87.0,5.39,63.5,11.06,86.0,4.69,79.25,3.27,78.25,2.49,76.97,15.63,7.72
