id,title,author,first_author_org,year,issue,page_start,page_end,abstract,keywords,clc_code,cite_count,doi,pdf_path
912,1768年叫魂案再审视与解读,茆巍[1],,2023,6,185,203,1768年的叫魂案，曾因海外汉学家孔飞力的写作而广为人知，《叫魂》一书也颇受好评。但是，通过史料再梳理，与类似案件再对比，可以发现，孔飞力所言的乾隆借叫魂案以整肃官僚的立论并不存在，它不过是同时代君主介入大案的一个缩影，且叫魂案的处理，整体上也是成功的。可以说，不是乾隆制造了叫魂案，而是孔飞力心中的理论前见制造了《叫魂》的写作。孔飞力的论调，反映了小历史写作中的局限，也提醒我们在阅读海外汉学著作时应当保持必要的清醒和鉴别力。,叫魂;孔飞力;制造;小历史;海外汉学,C,,,法学三大刊论文/中国社会科学/1768年叫魂案再审视与解读.pdf
913,"""一带一路""倡议与国际法——基于国际公共产品供给视角的分析",石静霞,"中国人民大学法学院,北京100872",2021,1,156,179,"由于经济危机深层影响显现、贸易保护主义加重、全球治理体系变革和新冠肺炎疫情影响等多种力量和因素的共同作用,国际社会面临公共产品供给不足的困境.""一带一路""倡议是中国在新的历史发展时期,作为负责任大国向国际社会提供的公共产品,符合非竞争性和非排他性特点.国际法在国际公共产品的供给方面有重要的促进和保障作用.""一带一路""倡议实施以来面临国际治理环境的急剧变迁,法治化是倡议长久和顺畅实施的基础前提和重要保障.""一带一路""法治化一方面应注意国际软法和硬法结合的多元化治理,妥善利用现有双边、区域和多边国际法律机制,另一方面须密切关注国际经贸规则最新发展,创新性提高我国的投资和贸易自由化等规则供给能力.""一带一路""的国际法保障,既要重视近期贸易和投资自由化的具体举措,亦需着眼于制度供给的长远规划和可持续发展,以此实现共建""一带一路""倡议的愿景和目标.","""一带一路""倡议;国际公共产品;""一带一路""法治化;全球经济治理;国际法保障",C,0,,法学三大刊论文/中国社会科学/“一带一路“倡议与国际法——基于国际公共产品供给视角的分析.pdf
914,“中国特色社会主义法治理论” 考,何勤华[1];周小凡[2],,2022,12,70,83,中国特色社会主义法治理论，是习近平法治思想的重要组成部分，是新时代中华法治文明的最新成果。它萌芽于1954年前后以毛泽东为核心的我们党第一代领导人对法的认识，成熟、定型于习近平法治思想之中。它以马克思主义法学观为思想渊源，以中华法系与中华法律文化以及其他人类法治文明之精华为历史基础，以中国共产党人领导的20多年革命根据地的法制建设为社会实践，以新中国70余年社会主义法治建设为时代背景，具有内在的逻辑和规则，以及法知识学价值，是中国特色社会主义法治体系建构的理论指导和学理支撑，也成为全面推进依法治国的行动指南。,中国特色社会主义法治理论;中国特色社会主义法治体系;依法治国习近平法治思想;法治文明,C,,,法学三大刊论文/中国社会科学/“中国特色社会主义法治理论” 考.pdf
915,个人信息民法保护的模式选择,王成[1],"北京大学法学院,北京100871",2019,6,124,146,"现代科技带给人们安全和便利的同时,已经成为一种独立于人类的异化力量。现代科技与人类发展之间的关系是个人信息保护问题讨论的宏观背景。我国个人信息保护立法重公法、轻私法,缺乏民事基本法的规则支撑。在法律体系中,民法是保护人之主体地位的重要手段和基础规范,能够为个人信息保护提供体系支持。相应的立法设计应当区分个人信息与数据的保护,确立信息主体对个人信息的自主控制,补强利益关系中最弱的一方。在个人信息民法保护的模式选择中,间接保护模式和法益保护模式都存在缺陷。权利保护模式更适合中国的立法及司法现实。个人信息权可以嵌入到既有人格权规范体系中,实现法律体系的内在和谐。民法典人格权编应当采取权利保护模式。",个人信息权;科技异化;保护模式;民法典,D923,0,,法学三大刊论文/中国社会科学/个人信息民法保护的模式选择.pdf
916,中华法的政治机理——基于秦汉与古罗马时期的比较视角,王志强[1],"复旦大学法学院,上海200438",2021,10,167,187,"在中华法律文明定型的重要历史阶段,秦汉时代建立了典型的集权体制,并通过集中调配资源和强势国家理念,对""法""的形式渊源、施行方式、侧重领域及司法标准等方面产生深刻影响.与同时代的古罗马相比,可看出二者形成了迥然不同的各自特点.两大帝国相关状况的比较显示,""法""的差别与政治权力结构密切相关.这种以历史为试验场的解释性比较可能超越中西法律比较的东方主义,更深刻地描述和理解中国的法与传统,并解释法与其他社会要素的关系.",中华法;政治权力结构;秦汉;古罗马;比较法律史,D908;D904,0,,法学三大刊论文/中国社会科学/中华法的政治机理——基于秦汉与古罗马时期的比较视角.pdf
917,中国专利交易中的绝对权类型法定,张轶[1],"深圳大学法学院,深圳518000",2025,4,78,96,我国学术界对专利交易中的绝对权类型法定问题关注较少。尽管专利法无法适用物权类型法定原则，但专利领域内绝对权类型不可随意设定。专利领域绝对权的类型化分析显示，其意定受到明显限制。在专利许可中，绝对权意定引发的悖论揭示，诸多法律条款难以支撑许可的对世效力，亦无法作为绝对权类型意定的法律依据。即使遵循意思自治原则，专利交易特殊性显示，缺少绝对权类型法定会导致交易成本上升、交易安全受损、第三方行动空间受限。,无体物;物权类型法定;绝对权类型法定;专利部分转让;专利许可,C,,,法学三大刊论文/中国社会科学/中国专利交易中的绝对权类型法定.pdf
918,中国共产党创造法治文明新形态的历史叙事,付子堂[1],,2022,12,45,58,中国式法治现代化道路深刻反映了中国共产党不断探索法治发展道路的光辉历程，创造了人类法治文明新形态，不仅深刻改变了中国，而且正在深刻影响世界历史进程。党领导中国人民在百年法治奋斗进程中，实现了法治机制创新、法治文本创新、法治话语创新，凸显出中华法治文明的鲜明特色。法治机制创新为中国式法治现代化之本，表明经过党的百年法治奋斗，形成了党总揽全局协调各方的法治领导机制；法治文本创新为中国式法治现代化之表，表明经过党的百年法治奋斗，以《民法典》的颁布实施为标志，中国特色社会主义法律体系逐步迈向法典化新阶段；法治话语创新为中国式法治现代化之里，表明经过党的百年法治奋斗，不断凝练的中国式法治话语体系正在发挥理论支撑、法理论证的关键功能。,党的二十大;习近平法治思想;百年法治奋斗;法治文明新形态;中国式法治现代化,C,,,法学三大刊论文/中国社会科学/中国共产党创造法治文明新形态的历史叙事.pdf
919,中国刑事程序法治文明的新发展,陈卫东[1],,2022,12,96,107,在习近平法治思想指引下，我国的刑事程序法治建设通过理念革新、制度建设、实践创新，取得一系列突出成就。多重因素的合力助推刑事程序法治文明获得新发展，立足国情的同时遵循刑事司法规律是取得新成就的关键因素；我国传统刑事程序法治文明的创造性转化是推动新发展的内生动力；人类刑事程序法治文明成果的创新性发展是迈向新航程的外部支撑。未来应当着眼于构建自主刑事程序知识体系，为刑事程序法治建设提供理论支持，推动刑事诉讼法典实质落地，继续深化刑事司法体制机制改革，以实现更高水平的刑事程序法治文明。,刑事程序法治文明;立足国情;创造性转化;创新性发展,C,,,法学三大刊论文/中国社会科学/中国刑事程序法治文明的新发展.pdf
920,中国刑事证据制度体系的优化,张栋[1],"华东政法大学法律学院,上海200042",2015,7,125,148,近年来，中国刑事证据立法日益丰富，初步形成了证据制度体系。但是，从“排除合理怀疑”证明标准和非法证据排除这两个重要证据规则的适用情况看，刑事证据立法没有达到预期的目的。造成这一现象的原因，有法律适用或者制度执行的原因，但更主要的原因是证据制度体系没有实现优化配置。实现证据制度体系的优化，并非否定我国当前的证据制度体系，而是在现有制度的基础上，遵循证据适用规律，在立法论层面上优化证据规则设置，消除妨碍证据制度优化适用的不合理因素，从而实现证据制度体系的优化运作，实现刑事诉讼的目的。要实现证据制度体系的优化，立法应在通常意义上界定证据规则，某些关键性的证据规则不应缺失，重要的诉讼行为应尽早进行，给予前置式的证据规则以优位，这也更为契合审判中心主义与证据裁判主义的价值内核。,证据制度;证据规则;证明标准;非法证据排除;体系化,D925.2,95,,法学三大刊论文/中国社会科学/中国刑事证据制度体系的优化.pdf
921,中国合宪性审查的宪法文本实现,刘连泰[1],"厦门大学法学院,厦门361005",2019,5,100,120,"宪法文本的结构和逻辑决定了合宪性审查的制度逻辑。中国宪法文本包含消极规范和积极规范,具有行动纲领的性质。国家和公民都是宪法关系的主体,消极规范蕴含“遵守”义务,积极规范蕴含“执行”义务。全国人民代表大会及其常务委员会根据消极规范判断立法是否与宪法抵触,多元主体根据积极规范判断立法是否适当。中国共产党领导是中国特色社会主义最本质的特征,中国共产党享有概括的合宪性审查权,该权力应由中共中央行使,可以由中央全民依法治国委员会承担具体工作。中共中央在技术上一般不直接作出合宪性判断,可以指导、建议相关机构作出判断。国家不遵守消极规范或者“不适当”执行积极规范,将产生直接的宪法责任,公民不遵守消极规范的责任需要法律规定。",消极规范;积极规范;遵守;执行;宪法责任,D616,0,,法学三大刊论文/中国社会科学/中国合宪性审查的宪法文本实现.pdf
922,中国宪法上基本权利法律保留的生成与构造,陈鹏[1],,2023,12,119,138,基本权利法律保留不是对行政权的限制，而是对立法权的指示和约束。从宪法功能的转型、宪法文本的形成与演进、宪法实施机制的发展来看，应当从规范的层面检视我国现行宪法中的基本权利法律保留。宪法文本确立了差异化法律保留的体系，包括简单法律保留、特别法律保留、无法律保留、内容形成保留以及财产权条款的特殊情形。制宪史表明，《宪法》第51条并不阻碍差异化法律保留的成立。《宪法》第51条设定的无法律保留的基本权利的限制事由可以被限缩解释，从而既能适用于附带简单法律保留及特别法律保留的基本权利，又能彰显差异化保留的规范意义。差异化法律保留亦可为解决基本权利冲突、区分立法的合宪性审查基准提供指引。,基本权利;法律保留;《宪法》第51;条;基本权利冲突;合宪性审查,C,,,法学三大刊论文/中国社会科学/中国宪法上基本权利法律保留的生成与构造.pdf
923,中国宪法权力监督功能的规范分析,刘练军[1],"东南大学法学院,南京211189",2024,9,31,41,中国宪法的鲜明特色在于创置了人大监督、检察监督和公民监督等多种类型的监督制度，展现出强大的权力监督功能。2018年监察委员会入宪，其权力监督功能得到了进一步强化。中国宪法构建了权威高效的监督体系，明确了集中统一的监督领导体制，形塑了对监察委员会的多元化监督机制，为权力监督功能的发挥提供了系统性的制度平台。社会主义国家权力的一体性塑造了中国宪法的监督制度体系，而马克思主义政党的自我革命性则为其权力监督功能的实现提供了动力源泉。中国宪法权力监督功能的有效发挥还依赖于一系列配套制度的发展与完善。,中国宪法;监督功能;权力监督;监察委员会;自我革命,C,,,法学三大刊论文/中国社会科学/中国宪法权力监督功能的规范分析.pdf
