paper_id,paper,研究创新性,研究创新性_std,现状洞察度,现状洞察度_std,理论建构力,理论建构力_std,逻辑连贯性,逻辑连贯性_std,学术共识度,学术共识度_std,前瞻延展性,前瞻延展性_std,ccb_score,round1_avg_std,round2_avg_std
1,raw/xueshuyuekan/6100043434_李晟_2018_学术月刊_美国宪制中的军政关系 传统与变迁.md,47.75,11.88,49.5,20.45,51.5,12.54,84.75,2.77,72.75,4.49,53.25,11.14,57.53,20.0,12.2
2,raw/xueshuyuekan/6100043435_刘晗_2018_学术月刊_国内公法的外部维度 美国地缘宪制的深层逻辑.md,37.0,6.67,68.25,8.32,56.5,2.06,84.25,4.26,79.25,3.83,67.0,6.28,58.91,16.0,6.0
3,raw/xueshuyuekan/6100204231_刘磊_2019_学术月刊_中国土地制度的宪法解释 问题、争议及权衡.md,66.0,15.02,58.0,12.02,41.75,2.05,82.5,2.87,76.0,6.04,73.0,3.0,63.72,15.6,7.9
4,raw/xueshuyuekan/663320596_梁清华_2015_学术月刊_论中国私募基金管理人注册制度的完善.md,36.75,6.83,60.5,3.64,45.75,7.19,73.5,3.57,63.75,5.4,67.5,3.28,52.57,14.3,5.8
5,raw/xueshuyuekan/663564065_李莉和石伟_2015_学术月刊_论登记型与占有型动产担保物权的冲突及其消解.md,56.25,9.44,74.0,2.0,78.5,5.22,80.25,5.76,72.75,4.82,69.5,4.15,73.0,16.4,6.0
6,raw/xueshuyuekan/663983549_许小亮_2015_学术月刊_从国家理性到公共理性——康德政治哲学的革命.md,72.75,13.46,49.25,19.73,58.25,4.09,82.75,6.3,79.5,3.64,72.0,3.08,67.01,19.4,9.7
7,raw/xueshuyuekan/665987994_杨俊一_2015_学术月刊_依法执政：法治现代化的模型分析与路径选择.md,23.75,8.93,66.75,3.03,48.75,6.5,58.25,8.17,43.75,8.93,32.0,19.99,46.4,17.6,10.7
8,raw/xueshuyuekan/666246173_许章润_2015_学术月刊_论“家国天下”——对于这一伟大古典汉语修辞义理内涵的文化政治学阐发.md,26.0,4.0,48.25,14.02,45.0,3.54,70.5,1.66,57.5,2.87,64.0,25.42,45.06,17.5,9.9
9,raw/xueshuyuekan/666611439_吴旭阳_2015_学术月刊_“第三方裁判被收买”对司法公正的影响.md,57.5,14.43,37.5,14.79,55.5,32.07,71.0,10.05,62.0,7.87,56.75,3.7,55.62,23.6,16.0
10,raw/xueshuyuekan/668194135_莫湘益_2016_学术月刊_检察建议用于刑事个案监督论要.md,30.0,0.0,5.0,8.66,7.5,4.33,56.25,5.45,56.25,15.3,5.0,8.66,26.32,14.8,8.2
11,raw/xueshuyuekan/669262573_刘水林_2016_学术月刊_车辆限行规制的法经济学分析.md,56.25,13.94,71.0,17.92,72.5,10.99,83.0,4.12,81.75,4.09,67.75,5.31,71.88,16.9,10.8
12,raw/xueshuyuekan/669459536_许小亮_2016_学术月刊_纯粹理性的法律构造——《纯粹理性批判》的法哲学意蕴.md,87.0,1.22,58.5,12.11,53.25,10.89,85.25,1.3,82.25,1.79,52.5,7.5,75.93,17.6,6.7
13,raw/xueshuyuekan/669459539_吴鹏森_2016_学术月刊_新中国刑释人员社会政策的历史演变.md,30.5,2.87,27.5,9.01,39.5,3.64,70.0,5.0,50.5,8.56,27.5,2.5,40.68,9.6,6.1
14,raw/xueshuyuekan/669769034_马胜强和吴群芳_2016_学术月刊_当代中国利益表达机制的结构转型——基于国家与社会关系的理论视域.md,31.25,2.17,35.0,14.58,50.75,2.59,64.75,8.04,60.75,15.47,51.0,1.0,43.46,13.7,8.4
15,raw/xueshuyuekan/670014753_郑戈_2016_学术月刊_学术主体意识与国际化：中国人文社会科学评价规则往何处去？.md,33.0,5.2,13.75,18.5,25.0,7.91,61.0,18.34,60.5,9.91,49.5,9.39,33.65,21.3,13.3
16,raw/xueshuyuekan/670014762_高全喜_2016_学术月刊_卡尔霍恩的州人民主权论以及美国宪制结构的历史变革.md,73.0,7.38,65.0,10.0,63.25,6.98,75.5,1.5,81.75,4.09,53.25,6.06,71.99,16.07,6.92
17,raw/xueshuyuekan/671047877_杨俊锋_2017_学术月刊_“人地钱”挂钩之后——中国城市化的体制性障碍与出路.md,26.25,6.5,33.25,21.02,23.75,14.31,66.5,7.53,43.25,14.97,57.5,4.33,36.93,21.5,13.2
18,raw/xueshuyuekan/671047880_刘碧波和李一达_2017_学术月刊_从教派之争到文化战争——美国政教分离的宪法实践.md,63.5,19.62,81.75,2.28,44.25,9.96,80.5,1.66,71.5,0.87,64.0,5.34,68.4,13.5,7.6
19,raw/xueshuyuekan/671047881_吴旭阳_2017_学术月刊_涪审团模式之行为实验比较研究.md,48.0,13.21,26.25,11.92,32.0,4.95,77.25,6.38,62.5,12.38,72.0,4.3,46.94,19.1,10.2
20,raw/xueshuyuekan/671609379_钟宁桦等_2017_学术月刊_经理人权力与员工工资——来自五百家非上市公司的证据.md,30.75,2.59,76.0,1.22,71.0,2.24,85.0,2.12,52.0,24.59,76.75,4.66,61.26,15.3,7.2
21,raw/xueshuyuekan/671609382_朱圆_2017_学术月刊_脆弱性理论与国家治理责任新解.md,40.75,11.48,58.75,14.74,51.25,4.15,79.5,6.95,63.75,5.4,56.25,2.17,55.96,14.6,8.6
22,raw/xueshuyuekan/671862081_孙丽岩_2017_学术月刊_行政执法中的非强制行为分析.md,37.0,2.12,31.75,13.16,34.5,4.56,61.75,15.86,61.25,6.06,55.75,2.49,41.15,15.7,8.5
