id,title,author,first_author_org,year,issue,page_start,page_end,abstract,keywords,clc_code,cite_count,doi,pdf_path
1104,2016年后反倾销领域中国（非）市场经济地位问题,左海聪;林思思,南开大学法学院,2017,1,157,174,2016年12月11日前后，各方关于期限届满后中国非市场经济地位的争议非常激烈。通过对《中国入世议定书》第15条进行分析，本文认为期限届满后，WTO成员已无法从《中国入世议定书》获得使用替代方法的合法性依据，若WTO成员继续在反倾销调查中，坚持对进口自中国的产品采用替代方法确定正常价值，将构成对WTO规则的违反。中国非市场经济地位与替代方法是两个既相互区别又有联系的问题，所谓“中国非市场经济地位的最后期限”的核心并不是非市场经济地位而是替代方法的终止使用。WTO成员国内法对中国非市场经济地位的规定，仅在有限的时间内有条件地影响替代方法的使用。随着时间期限的届满，除非满足GATT第6条第1款注释2的规定，至少在WTO反倾销领域，替代方法将终止使用。这意味着在2016年12月11日后，在反倾销调查中，在出口产品正常价值的确定方面，中国应享有同其他缔约国一致的WTO待遇。,反倾销;《中国入世议定书》第15条;非市场经济地位;替代方法,F752.4,0,,法学三大刊论文/法学研究/2016年后反倾销领域中国（非）市场经济地位问题.pdf
1105,WTO《多方临时上诉仲裁安排》:基于仲裁的上诉替代,石静霞[1],中国人民大学法学院,2020,6,167,185,"中国、欧盟等WTO成员近期达成的《多方临时上诉仲裁安排》(MPIA),是自2019年12月11日WTO上诉机构被迫停止运作以来,部分成员为应对WTO争端解决危机所取得的最重要进展。MPIA基于DSU第25条设计,其实质在于依托仲裁,替代上诉,并具有临时性和开放性的特点,是在上诉机构停摆期间继续维护两审终审并确保裁决约束力的惟一务实及合法选择。上诉仲裁在程序启动和裁决生效两方面体现仲裁要素,从而使其有别于WTO上诉审议;但在仲裁员遴选及组庭、审理程序、法律适用及裁决执行监督等方面,则基本复制了上诉审议程序,显示了其替代上诉的实质,回应解决了参加成员在特殊时期的上诉需求。在制度创新方面,MPIA融入若干提高程序效率的规定,试图在危机背景下回应WTO上诉机制的改革需要。我国在MPIA的谈判和达成过程中发挥了关键作用,须在继续坚持多边贸易体制、寻求长久解决上诉机构危机方法的同时,尝试通过该机制解决涉我WTO案件的上诉问题。",上诉仲裁;《多方临时上诉仲裁安排》;DSU第25条;WTO争端解决,D92,0,,法学三大刊论文/法学研究/WTO《多方临时上诉仲裁安排》_基于仲裁的上诉替代.pdf
1106,"""债权物权化""之范畴厘定",袁野[1],,2022,4,73,92,"""债权物权化""由来已久,但其内在机理却鲜有深究.""债权物权化""现象域呈现出随意、散漫的泛化之势,此种""合并异类项""的发展趋势极易消解债物二分体系和债权物权区分理论.基于对德国学说的继受和发展,""债权物权化""系指债权具有部分物权特征.""债权物权化""与""债权物化""存在根本差异,后者对应债权的财产权客体面相,此时""物化""的债权具有全部物权特征.以继受保护不构成债权物权区分的特征为限,尤应注意""债权物权化""与""债之随物化""之间的区辨.在重构物权特征的基础上,""债权物权化""仅涉及相对性面相下的合同债权被赋予对标的物权的处分保护.""物权化""构成法政策介入私法的媒介,受比例原则制约,在方法上宜谨慎运用.",债权物权化;债物二分;债权物化;债之随物化;处分保护,D,,,法学三大刊论文/法学研究/“债权物权化“之范畴厘定.pdf
1107,“八议”源流与腹边文化互动,苏亦工[1],清华大学法学院,2019,1,171,192,"“八议”律条自曹魏入律以后,经晋唐以迄明清,成为中国固有法律的鲜明特征之一;但近世西学东渐以来,亦曾饱受訾议。“八议”语源出自《周礼》“八辟”,或许在某种抽象意义上反映了两周时代的礼制精神。申言之,“八辟”可能是出自君臣之礼,或君臣之礼的某一环节,以示君主对臣下的体恤和优抚。从两周时代的国体、政体和君臣关系考察,这种君臣之礼的存在也是可能的。本文进而比较了中原王朝与边疆诸族政权在君臣关系和政治伦理等领域的差异,指出前者是尊卑关系,后者是主奴关系,伦理亦然。源于八辟的八议律条是中原政权的独特创造,有赖于农耕文化的支撑;在以游牧、渔猎文化为主导的边疆政权入主之时,便难免会发生种种变异。",八辟;《周礼》;君臣伦理;农耕文化;游牧渔猎文化,D691,0,,法学三大刊论文/法学研究/“八议”源流与腹边文化互动.pdf
1108,“六事”视野中的清代则例,陈煜[1],中国政法大学法律史学研究院,2024,4,186,204,"清代则例和《大清律例》一起, 构成了清代法制体系的主要方面。作为法律制度, 则例构成了各部院实行“治”“教”“礼”“政”“刑”“事”等“六事”的依据。且较之于律例, 则例的“官僚法”性质更加突出, 充分显示了“官法同构”的特色。这从其编纂体例上注重“设官分职”、思想精神上强调“严以治吏”、核心价值上注重“一准乎礼”这三个方面可以得到充分证明。作为“官法”, 则例使得官僚系统在对“六事”的处理上趋于规范, 但也开其因循守旧之渐。但无论是将则例视为官制官规, 还是将则例作为档案编纂或是“行政备忘录”, 其所揭橥之“六事”精髓, 皆是我们深入理解清代法制乃至传统法制的锁钥。同时, 其对于当代治国理政,不啻为一部活生生的教科书。",六事;清代则例;设官分职;严以治吏;一准乎礼,D,,,法学三大刊论文/法学研究/“六事”视野中的清代则例.pdf
1109,“对赌协议”的裁判路径及政策选择——基于PE/VC与公司对赌场景的分析,刘燕[1],北京大学法学院,2020,2,128,148,"PE/VC与目标公司对赌的司法裁判要点从合同效力转入合同可履行性后,需要面对两个层次的追问:一是以什么样的实体标准来判断履行障碍,二是由谁来判断是否存在履行障碍。华工案和“九民纪要”仅处理了第一个层次的问题,且主要以资本维持原则作为实体判断标准。然而,我国现行公司法资本维持原则过于粗疏,且缺乏“大分配”概念和底线规制的思路,导致“对赌协议”下的回购只能通过减资的途径,徒增成本。域外以清偿能力标准替代资本维持原则,体现了另一种以债权人利益为导向限制公司资产单向流出至股东的规制思路,但其商业逻辑上的合理性却无法掩盖更大的操作成本。就第二层次的判断主体而言,以美国特拉华州为代表,法官的商业判断逐渐让位于公司董事会的商业判断,却进一步凸显了公司、不同类别股东、债权人之间利益冲突的复杂状态。立法层面的价值判断与政策选择将最终决定司法裁判的走向,未来我国公司法的修订需要回应商业实践的诉求,同时PE/VC投资者也需要直面投资失败的风险承担。",“对赌协议”;履行障碍;资本维持原则;清偿能力限制;司法商业判断,D92,0,,法学三大刊论文/法学研究/“对赌协议”的裁判路径及政策选择——基于PEVC与公司对赌场景的分析.pdf
1110,“御史监察”的历史构造与运转实效,明辉[1],北京航空航天大学法学院,2020,4,186,208,"在古代中国,""御史监察""既是政制构造的一个重要部分,反映了政府权力的划分和制衡,又是政制运作的一个关键环节,隐含着帝王对政府权力的控制和利用。御史的创置及其监察职责的设定,恰是这种权力控制理论的重要制度体现。历史上,""政制""包括静态意义上的构造和动态意义上的运作。如果说,从静态的视角看,御史的选任及其职守,构成了一个重要的人的因素;巡察制度的因革、监察区域与层级的划分,构成了一个主要的制度性因素;那么,从动态的视角看,御史的弹劾及其实效、御史监察的独立性及其限度,就构成了一个不可或缺的实践性因素。后者融洽地整合了前两者,促进了御史监察制度的有效运转,进而对于古代政制构造与运作的平衡和政治秩序的维系,发挥了不可或缺的作用。",御史;巡回监察;弹劾实效;监察程序,D26,0,,法学三大刊论文/法学研究/“御史监察”的历史构造与运转实效.pdf
1111,“直诉”源流通说辨正,王捷,华东政法大学法律古籍整理研究所,2015,6,174,190,“直诉”一词系近代以来的法史学研究术语。目前，“直诉”源流之通说认为，“直诉”源于西周的“路鼓”、“肺石”，成型于南北朝的登闻鼓制。通过考辨可知，《周礼》所载“路鼓”与“肺石”、秦汉至南北朝以前的上书、登闻鼓，均非司法意义上的“直诉”，通说关于“直诉”源流的认识不确。此通说形成的原因在于：《周礼》立于官学后，时人多奉《周礼》为理想制度，将“登闻鼓”、“八议”等制比附《周礼》，出现了“法律《周礼》化”，历代注家也层累地将“《周礼》化”的各种制度源头定为西周。但是，考诸传世文献并验之以出土法律文献可见，西周至春秋时期尚无明确的审级制度，自然就没有超越审级的“直诉”存在。当时的诉讼或均可视为单级审理的“直诉”。包山楚司法简的记载说明，在战国以降逐步确立多级审制的情形下，超越审级的“直诉”在当时已经出现。,直诉;审级;周礼;楚简,D925.1,107,,法学三大刊论文/法学研究/“直诉”源流通说辨正.pdf
1112,“祖制”的法律解读,朱勇,中国政法大学法律史学研究院教授,2016,4,190,208,中国古代在国家治理与社会控制方面，以先皇祖训为内容的“祖制”发挥着重要作用。祖制作为有约束力的行为规范，其调整范围涉及国家权力的分配与制衡、朝廷运行机制、重大事件决策、重要职官任免、朝贡外交等。祖制主要通过由皇帝主持的“祖制驳议”机制来实施。在规范形式上，祖制多以诏令、上谕等先例、惯例的方式存在，较多保留春秋以前非法典化、非公开化的法律神秘主义特征。祖制初步具备国家根本法的性质，其与普通律令既有分工，又有衔接，共同构成中国古代完整的法律体系：“祖制一律令”体系。祖制的存在，适应中国古代尊祖孝亲的宗法传统，弥补了因皇位世袭导致国家治理制度的重大不足，同时，也对律令体系的完善产生消极影响。,祖制;祖制一律令体系;祖制驳议,D920.0,64,,法学三大刊论文/法学研究/“祖制”的法律解读.pdf
1113,“谁主张谁举证”规则的历史变迁与现代运用,胡东海,中南财经政法大学法学院,2017,3,107,124,在我国对规范说的理论继受和实践继受的过程中，具有实在法依据的“谁主张谁举证”规则遭受了严厉批评。通过统合古典罗马法的两项证明责任规则，优士丁尼时期的法学家抽象出“谁主张谁举证”规则，该规则基于“诉一抗辩”结构分配证明责任。注释法学家将“谁主张谁举证”规则曲解为消极事实理论，但他们完善该理论的方式表现出回归罗马法传统的倾向。“谁主张谁举证”规则在欧陆法典中获得普遍采纳，但“诉一抗辩”结构在主观权利体系下遭到瓦解。规范说是罗马法传统中的“谁主张谁举证”规则的现代运用，因为它的“基础规范一相对规范”结构为“谁主张谁举证”规则提供了新的解释模式。我国证明责任学说应当重构“谁主张谁举证”规则的理论脉络，梳理它与规范说的内在联系，在解释论上化解二者之间的法律适用冲突。,谁主张谁举证;消极事实理论;规范说;证明责任分配,D925.1,0,,法学三大刊论文/法学研究/“谁主张谁举证”规则的历史变迁与现代运用.pdf
