编号,期刊,年份,期,题目,作者,作者机构,主要学科,标识性概念匹配,原创性理论匹配,框架结构匹配,匹配条目总数,匹配方法统计,备注
0101,中国法学,2024,3,中国特色反腐败制度框架下贿赂犯罪法益的确定,陈金林,武汉大学法学院,刑法学；法理学,党内法规[法理学],腐败犯罪刑事治理理论[刑法学],,2,"keyword:2, semantic:1, both:0, llm_verified:2",置信度:high；未匹配'社会危害性理论'。论文仅在结语提及该词作为批判靶点，指出传统学说因过度依赖模糊的社会危害性/道德情绪而失效，其核心主张是转向精确的'法益'与'损益关系'分析，故不构成对该理论的实质性讨论或发展。
0619,中国法学,2022,1,符合法律的宪法解释与宪法发展,杜强强,首都师范大学政法学院,宪法学；立法学,合宪性审查[宪法学],立法发展理论[立法学],第六：宪法实施论[宪法学]；第二：宪法学基本理论[宪法学],4,"keyword:6, semantic:14, both:0, llm_verified:4",置信度:high；本文以《宪法》第40条为切入点，系统建构“符合法律的宪法解释”方法论，核心贡献在于为合宪性审查提供技术工具，并厘清宪法解释与立法发展宪法的理论边界。高度契合宪法学自主知识体系中关于宪法实施、审查技术与规范关系的核心议题，同时跨学科触及立法与宪法互动的理论前沿。
0820,中国法学,2022,5,论法律解释目标的逐案决定,陈坤,南京大学法学院,法理学；法学方法论,,,运行论（立法论、实施论、解释论）[法律史学],1,"keyword:1, semantic:4, both:1, llm_verified:1",置信度:medium；论文实质为法理学/法学方法论研究。候选库中仅“运行论”框架下的“解释论”分支在议题上与之对应，故仅匹配此项。其他候选条目因核心议题或学科属性不符未予纳入。
0882,中国法学,2023,2,过失犯远因溯责的规制路径_以渎职犯罪为中心,陈璇,中国人民大学刑事法律科学研究中心,刑法学,免予刑事处罚与非刑罚处罚措施[刑法学]；宽严相济刑事政策[刑法学],主、从二分的共同犯罪理论[刑法学],刑事制裁论（刑事责任、刑罚及其种类、刑罚制度）[刑法学],4,"keyword:2, semantic:12, both:0, llm_verified:4",置信度:high；本文系典型刑法教义学论文，核心围绕过失犯结果归责与渎职犯罪展开。匹配项均严格基于文本中关于归责路径、制裁分流、刑事政策及正犯概念的论述，未强行关联其他学科条目，整体高度契合中国刑法学自主知识体系的核心范畴。
0946,中国社会科学,2021,4,从_权能分离_到_权利行使,蔡立东,"吉林大学、司法数据应用研究中心,长春130012",民法学,,契合土地公有制的原创性物权理论[民法学],第二：物权理论[民法学],2,"keyword:3, semantic:12, both:1, llm_verified:2",置信度:high；该论文是构建中国法学自主知识体系在民法物权领域的典型范例。其通过批判性反思继受自大陆法系的“权能分离说”，立足社会主义公有制经济基础与中国《民法典》制度创新，提出“权利行使”理论以替代传统范式，实现了物权基础理论的本土化转型与自主知识生产，有效弥合了西方传统理论与中国制度实践的罅隙。
0956,中国社会科学,2015,11,公序良俗原则与诚实信用原则的区分,于飞,"中国政法大学民商经济法学院,北京100088",民法学,,,第一：民法总则与基本原理[民法学],1,"keyword:4, semantic:9, both:1, llm_verified:1",置信度:high；本文系典型的民法教义学研究，通过厘清两大基本原则的功能边界与裁判适用规则，有效回应了我国民法理论长期存在的概念混淆问题，为构建体系化、精细化的中国民法自主知识体系提供了重要的基础理论支撑。
1023,中国社会科学,2024,3,法益修复与功能违法论,杜宇,"复旦大学法学院,上海200438",刑法学,犯罪构成[刑法学]；免予刑事处罚与非刑罚处罚措施[刑法学],刑事责任理论[刑法学]；刑罚理论[刑法学],犯罪论（犯罪概念、犯罪构成、排除犯罪事由、共同犯罪、罪数形态）[刑法学],5,"keyword:5, semantic:22, both:2, llm_verified:5",置信度:high；该论文高度契合“中国法学自主知识体系”的构建路径。作者立足中国本土立法经验（如逃税罪条款），批判性吸收德日刑法理论（如罗克辛功能责任论），原创性提出“功能违法论”及“应罚/需罚的违法性”二元构造，实现了刑事政策与刑法教义学的体系性融贯，是刑法学领域自主知识生产的典型范例。
1168,法学研究,2022,5,为被告人利益抗诉与上诉不加刑原则之适用———以上诉理由之限制为中心,郭烁,中国政法大学诉讼法学研究院,刑事诉讼法学,刑事诉讼法[刑事诉讼法学],,,1,"keyword:1, semantic:11, both:0, llm_verified:1",置信度:high；论文聚焦刑事诉讼程序中的上诉审构造与上诉不加刑原则，虽在脚注提及认罪认罚从宽案件背景，但未展开该原创性理论的核心讨论，故仅匹配刑事诉讼法标识性概念。
1194,法学研究,2019,2,从基本权理论看法律行为之阻却生效要件,,一个跨法域释义学的尝试-章程-浙江大学光华法学院,民法学；法理学；经济法学,法律行为[法理学]；法律原则[法理学]；社会公共利益[经济法学],,第一：民法总则与基本原理[民法学],4,"keyword:4, semantic:24, both:2, llm_verified:4",置信度:high；本文虽以民法学为基底，但实质引入了宪法基本权理论进行跨法域分析，体现了中国法学自主知识体系构建中打破传统部门法壁垒、融合公私法价值判断的理论自觉。论文提出的“跨法域释义学”与“比例原则/务实协调原则”的适用框架，是对传统民法教义学局限性的突破，契合自主知识体系强调的本土问题导向与方法论创新。
1200,法学研究,2019,4,代理公开的例外类型和效果,朱虎,中国人民大学民商事法律科学研究中心,民法学；立法学；法理学,法典编纂[立法学]；法律行为[法理学],,,2,"keyword:4, semantic:2, both:0, llm_verified:2",置信度:medium；论文核心聚焦民法代理制度教义学分析。候选库中仅“法典编纂”与“法律行为”有明确文本支撑；文中虽提及“平衡三方利益”，但属民法一般原则而非知识产权专属的“利益平衡理论”；“侵权责任理论”与“国际私法法典化理论”与本文内容无实质关联。
